Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9,Load_H2_tonne_per_hr_z10,
,,,,,,,38,25.15,147.96,55.72,8.583545099,5.670247884,6.124038005,0.043550539,1.294289545,3.791824706,6.714106616,5.151764409
,,,,,,,39,26.32,154.89,58.33,20.19506941,8.007017149,22.20875574,2.681145072,10.76982481,0.711618921,0.872056494,15.8238072
,,,,,,,40,26.98,158.76,59.79,18.82788429,3.564129107,2.956808588,1.007097024,1.816227929,13.76006867,5.620842869,2.601455823
,,,,,,,41,25.67,151.02,56.87,15.61538678,9.945343067,18.38102962,18.59907982,18.49902885,14.3244336,14.32122472,5.971816518
,,,,,,,42,23.24,136.75,51.5,1.435438707,13.1939495,22.28522231,16.06000208,20.62982759,2.202062135,15.7737978,21.80326574
,,,,,,,43,19.29,113.52,42.75,21.61442737,2.093543316,5.486840592,7.884289427,1.273502125,18.06780346,19.77266414,4.822121879
,,,,,,,44,14.93,87.84,33.08,1.842831604,14.81805342,10.41495279,11.26165052,3.995335273,15.27520046,10.32652649,2.131519333
,,,,,,,45,11.4,67.05,25.25,9.763703106,6.344939368,2.968940745,18.39117335,7.080275618,7.135697232,10.07928085,6.670325397
,,,,,,,46,8.83,51.97,19.57,22.26340234,17.23620901,21.51385936,9.723952403,2.696760532,10.16915539,19.13739566,14.10606467
,,,,,,,47,6.2,36.48,13.74,7.166971257,20.81336259,14.58409197,19.35133471,6.990617281,4.685814991,17.49759926,15.84216775
,,,,,,,48,3.95,23.23,8.75,11.55737465,1.798206307,19.60747957,20.72174494,19.84763431,0.406900197,3.876806058,19.91544069
,,,,,,,49,1.69,9.92,3.74,1.30054944,13.47915472,10.7887833,12.94326218,10.57631766,4.71539402,3.714892633,0.377728554
,,,,,,,50,1.24,7.28,2.74,7.356946185,2.993718928,18.45060242,13.95673563,22.8131195,7.247276635,18.42314837,7.766592131
,,,,,,,51,1.74,10.25,3.86,17.97950211,21.94099964,12.09747758,20.20090069,0.857291412,17.7687789,13.61033256,22.57123733
,,,,,,,52,4.05,23.82,8.97,12.45375522,10.37166291,4.613720239,18.49766435,7.225036706,3.849393585,18.67920952,4.037871934
,,,,,,,53,8.71,51.27,19.31,7.336326754,5.09403106,13.11530504,3.759829508,19.02153203,4.055115186,17.79521037,7.004115893
,,,,,,,54,14,82.37,31.02,21.96173807,9.134868714,9.002607163,12.80352344,8.367894058,2.768488884,22.29691736,3.410362094
,,,,,,,55,17.32,101.88,38.37,7.891250293,15.506334,1.936251167,15.68390586,1.33662742,18.43850716,17.78613964,3.417184211
,,,,,,,56,19.85,116.77,43.97,20.42665464,9.901910381,17.26605693,19.33085412,17.68467734,9.045294115,7.602758744,21.72090754
,,,,,,,57,20.91,123.06,46.34,11.85047421,22.0667327,19.54084939,8.323320787,16.49401146,19.05209412,7.953940945,10.95888279
,,,,,,,58,20.01,117.76,44.35,16.69484239,3.383723838,14.93878099,12.96265833,19.21960548,17.61707122,9.309057355,1.671302243
,,,,,,,59,19.9,117.1,44.1,9.089611608,11.34783191,15.53745999,4.028130572,18.7795476,2.874294567,0.426261443,3.396647028
,,,,,,,60,20.63,121.4,45.72,12.75353967,19.49769442,8.00147049,8.816837254,11.66933267,18.25701276,19.87698247,16.10357064
,,,,,,,61,21.93,129.01,48.58,8.178182312,15.12252961,4.374566417,11.46402276,20.39820736,11.10334257,9.390297888,10.47544033
,,,,,,,62,22.77,133.97,50.45,18.99666527,3.028736648,0.933904197,4.715641347,19.61883373,21.86199418,3.099650091,18.43670568
,,,,,,,63,24.62,144.89,54.56,14.18784136,11.23667841,20.19285758,21.59329799,17.28097439,19.00891744,7.428350017,8.846290515
,,,,,,,64,26.14,153.82,57.93,10.96646696,2.529137203,6.644368249,9.132406091,4.807795796,21.35246805,2.424945769,17.38912404
,,,,,,,65,25.41,149.52,56.31,19.79825442,22.67107255,5.047568017,20.39702112,11.03054135,3.605974231,13.48770674,17.82855881
,,,,,,,66,23.89,140.59,52.94,12.7042612,13.69182458,16.18570417,7.941655488,2.056784209,20.24012749,9.606749769,10.65020793
,,,,,,,67,19.68,115.78,43.6,21.63492446,0.705176116,20.54250455,3.537788025,12.16028405,1.731361661,17.39702758,1.5415062
,,,,,,,68,14.45,85.01,32.02,17.13617252,4.601136771,3.176491229,18.56338423,12.0194455,16.97653094,20.95962678,22.83457768
,,,,,,,69,10.46,61.53,23.17,0.282724379,20.52347883,15.49218084,10.56008487,6.353926402,16.91612021,7.64678088,10.49231257
,,,,,,,70,7.87,46.31,17.44,14.24428272,8.204386913,7.559823887,5.038770025,10.78811306,2.769935982,15.0766353,17.25238836
,,,,,,,71,4.67,27.46,10.34,17.32375882,3.874525111,18.70031591,8.160367998,0.869024686,3.895700373,8.589454738,19.51026184
,,,,,,,72,2.64,15.55,5.85,20.25243595,15.84647093,10.76006733,11.747793,20.9597882,1.941158544,22.88295058,15.2053837
,,,,,,,73,1.76,10.36,3.9,4.932514715,1.255373782,12.30331872,4.396219896,8.712736145,22.04280535,22.93030299,10.45141204
,,,,,,,74,1.29,7.6,2.86,17.39034924,16.40179539,4.218809109,0.142710478,2.870727467,9.919041743,10.57049383,11.78784265
,,,,,,,75,1.82,10.71,4.03,13.1554246,18.18670405,14.27091807,20.38204253,16.8448306,19.19329295,17.05548661,2.965245819
,,,,,,,76,4.23,24.87,9.36,12.66201135,14.73363029,3.090331541,15.92534668,3.550623738,20.48427602,4.685611726,16.72016146
,,,,,,,77,9.1,53.54,20.16,0.970319989,6.688716256,9.937987309,4.38009835,13.67151159,18.22894532,20.46570367,3.375026034
,,,,,,,78,14.62,86,32.39,22.87497138,13.57637409,16.98507996,12.88807816,3.284376786,9.315833276,6.825070256,21.7234124
,,,,,,,79,18.08,106.38,40.06,22.32071336,17.06709207,2.285407942,17.13347763,13.52427661,5.45757481,3.030488973,18.07567791
,,,,,,,80,20.72,121.92,45.91,11.98844774,13.09284969,12.00473069,20.78003599,13.42158859,7.026329038,15.08299289,4.391460813
,,,,,,,81,21.84,128.48,48.39,7.133196668,10.68846059,7.907844459,21.41206967,15.44677175,8.328846031,21.86249898,7.585428538
,,,,,,,82,20.9,122.96,46.3,12.17431559,2.435368745,13.55108935,21.31446927,22.36140974,19.19990967,6.753507354,8.881845306
,,,,,,,83,20.78,122.27,46.04,16.68268833,15.92444215,9.721771432,1.818431114,7.119858466,3.721358848,3.672593805,4.031398517
,,,,,,,84,21.54,126.76,47.74,15.30862942,14.40683139,4.275408218,15.8391581,18.98240289,21.06140151,17.01447947,16.97176511
,,,,,,,85,22.89,134.7,50.73,22.54666962,2.382616693,3.596621926,5.096536565,17.59801168,18.51439272,8.369927689,22.50118483
,,,,,,,86,23.77,139.88,52.68,0.627929439,19.14058881,0.810091631,20.51723686,2.460123213,17.37861836,16.10679114,20.40956047
,,,,,,,87,25.71,151.28,56.97,22.96828483,22.08257252,16.49861302,19.94846107,8.282321362,16.47537096,5.188021084,11.81888733
,,,,,,,88,27.3,160.61,60.48,10.05588328,18.05722856,19.60673634,14.15931359,10.73928379,14.2282964,10.44462357,0.861675657
,,,,,,,89,26.53,156.12,58.79,16.7404911,4.2710192,6.103635714,6.353333413,18.64457753,13.96782873,22.89064403,2.352870917
,,,,,,,90,24.95,146.79,55.28,11.00413741,12.57274027,17.25953731,10.88733897,14.73422521,14.73172507,16.1711507,19.79861613
,,,,,,,91,20.54,120.89,45.52,3.453872169,19.12966133,15.5736729,20.47362358,18.23099837,3.108006826,0.311715687,11.43291623
,,,,,,,92,15.09,88.76,33.43,20.74594241,7.465639167,15.93946988,11.13537271,2.339365826,4.640596335,12.9081768,22.43851875
,,,,,,,93,10.92,64.24,24.19,0.508042322,1.071987982,7.283616006,20.38400567,8.603256149,18.53761019,9.499851033,10.09145891
,,,,,,,94,8.22,48.35,18.21,2.043043392,17.95142173,4.55179804,7.008413311,3.487312356,9.383682785,20.15913477,15.57202161
,,,,,,,95,4.87,28.67,10.8,21.57729774,15.40261671,20.30673326,20.26335549,0.771494907,22.48199793,14.26530314,14.3799714
,,,,,,,96,2.76,16.23,6.11,14.36749327,19.8170533,4.590849145,6.708072958,4.248514721,21.47477388,14.77261739,8.775028154
,,,,,,,97,1.86,10.95,4.12,9.059728155,3.97005122,14.85354954,19.23557232,14.81729531,19.00306295,22.31776308,19.10956902
,,,,,,,98,1.36,8.03,3.02,20.90916691,18.11034415,20.49298997,9.646736129,1.198368135,13.12191004,3.827720301,14.54842115
,,,,,,,99,1.92,11.31,4.26,18.23435341,20.16996006,17.57204226,13.14683002,22.22063271,9.244435637,8.314532601,11.51359949
,,,,,,,100,4.46,26.27,9.89,15.35034414,6.453432859,4.415913697,7.765020851,18.4846128,11.15675638,10.02478182,6.188469464
,,,,,,,101,9.61,56.55,21.3,8.668468881,18.62308756,0.967613557,22.18641269,13.58254502,13.52806044,13.82309254,14.04678273
,,,,,,,102,15.44,90.85,34.21,19.75703663,16.95864947,10.88522638,22.87541503,18.13115284,21.93902079,4.6839995,4.670961133
,,,,,,,103,19.1,112.37,42.32,19.52976886,12.78257717,5.962985788,21.64889143,2.543575112,15.93709824,1.999727079,3.642453427
,,,,,,,104,21.89,128.79,48.5,21.74964686,19.0393636,22.07172914,21.27989282,9.579845678,20.53909001,19.47916931,2.968950228
,,,,,,,105,23.07,135.72,51.11,17.49494825,21.02533709,2.803487819,18.63155411,20.46182638,22.40668048,14.03762297,3.676638397
,,,,,,,106,22.07,129.89,48.91,12.38871579,4.214123522,16.31327809,12.06040132,7.066321702,10.74543515,10.70195126,17.83773159
,,,,,,,107,21.95,129.16,48.64,15.19571668,22.45756491,22.21060812,16.50166637,14.88678989,0.639670461,11.91354591,11.55824829
,,,,,,,108,22.76,133.9,50.42,15.42185897,4.964638595,4.097104836,6.942974869,17.95881319,7.927479758,20.93054705,1.493792773
,,,,,,,109,24.18,142.29,53.58,3.429172921,11.20430721,11.60876152,19.94829102,18.62684416,22.56275464,3.829982533,3.453662596
,,,,,,,110,25.11,147.76,55.65,2.936284893,17.83106971,14.78514083,21.75006403,1.657399933,9.414326513,13.8935435,9.731098463
,,,,,,,111,27.16,159.8,60.18,5.80303638,13.08399076,4.978871172,6.441159445,12.39345837,21.70567683,21.32415327,6.939192357
,,,,,,,112,28.83,169.65,63.89,13.96254687,14.33392778,0.46333959,10.00479695,21.44390411,16.36815864,21.49296132,5.519693248
,,,,,,,113,28.03,164.91,62.1,1.516236919,11.30021379,15.37397257,2.357117241,10.9223559,6.12835129,17.9576738,0.425108339
,,,,,,,114,26.35,155.06,58.39,17.83508697,21.12734329,9.839382172,17.29849821,8.779718641,3.117613866,14.37821967,7.3991647
,,,,,,,115,21.7,127.7,48.09,17.6520166,13.65932638,10.37799895,22.23236973,2.64434221,22.8174434,9.105711801,16.45173982
,,,,,,,116,15.94,93.77,35.31,17.19764701,19.09326977,3.302338312,16.88756753,1.844414576,10.95160162,0.051424646,22.59457197
,,,,,,,117,11.53,67.86,25.56,21.26077769,1.802592852,13.59106785,14.42880422,5.686957509,11.88529293,21.45948722,14.1038235
,,,,,,,118,8.68,51.08,19.24,18.06333158,9.687669026,0.217304656,6.296262245,16.91275515,10.33349932,18.86884263,15.24194588
,,,,,,,119,5.15,30.28,11.4,16.67965613,20.35492311,18.47489657,0.726043017,19.89622698,18.41414045,15.49032925,8.401519258
,,,,,,,120,2.91,17.15,6.46,4.343952775,12.39195299,2.593714321,9.367676607,16.5647146,18.95001187,14.0754617,11.3359374
,,,,,,,121,2.86,16.85,6.35,6.935155651,11.14776033,0.028356273,6.714017001,20.54791653,1.3466198,20.47246046,14.00127573
,,,,,,,122,2.02,11.89,4.48,9.218947375,2.946331819,21.91238044,15.06417259,14.21397852,17.80486971,4.487611928,11.62134505
,,,,,,,123,1.96,11.51,4.34,4.183208366,21.45798364,6.524282792,15.28282186,22.12625523,20.14780417,10.17160858,12.46006867
,,,,,,,124,2.74,16.15,6.08,8.972188887,6.227501224,18.75083032,22.48853682,5.497477067,1.638347691,5.272806634,0.755564255
,,,,,,,125,5.09,29.95,11.28,19.51294305,19.51561074,14.61178892,14.48015385,3.658177325,13.58618559,5.153737682,10.139929
,,,,,,,126,8.36,49.18,18.52,19.24894556,9.454572635,12.5794796,13.86367574,14.22472537,16.32849272,2.06131188,6.442314086
,,,,,,,127,12.69,74.67,28.12,17.07086136,12.87440394,18.3108734,7.470581317,18.78123604,1.920090548,12.00731222,12.86281478
,,,,,,,128,17.24,101.41,38.19,14.86271694,5.74006494,11.23693279,6.950762292,17.46902229,16.90930226,2.159075156,0.005202632
,,,,,,,129,21.85,128.57,48.42,15.25123647,16.4657426,14.77957461,7.728499301,16.93632191,1.596173189,5.555469124,15.38486367
,,,,,,,130,24.2,142.38,53.62,16.69769728,19.49754706,18.52403725,2.729806918,8.330252172,6.766084775,9.142759522,15.23645702
,,,,,,,131,24.98,147.01,55.36,16.96337358,4.530696816,10.93610161,22.12841548,20.35171451,6.86270749,16.31662666,20.66792868
,,,,,,,132,26.13,153.73,57.89,7.324357958,9.622779071,2.792224048,15.28865402,6.755355988,19.83254987,9.957883794,7.803953392
,,,,,,,133,27.76,163.36,61.52,15.8905728,17.18990226,19.61686969,20.5377456,3.893127663,3.147220769,14.52974382,11.5185372
,,,,,,,134,28.98,170.5,64.21,9.696130839,11.14211289,6.717946336,1.46275066,12.08946538,14.14251123,21.15445767,1.731643974
,,,,,,,135,30.4,178.88,67.36,7.771831845,19.14423764,5.166048138,4.65081476,8.472685042,5.686170065,4.512943696,17.82249516
,,,,,,,136,31.19,183.51,69.11,10.22835647,18.61215882,22.34532831,22.76541858,0.520143756,1.788500471,12.01477838,19.36797173
,,,,,,,137,29.64,174.38,65.67,2.258611625,17.64745969,19.25677603,22.18145909,16.19974095,3.622773987,12.77471539,5.70239158
,,,,,,,138,26.81,157.73,59.4,22.10271242,10.48360876,18.81912343,20.2923622,14.62169888,17.18510774,11.18416451,8.234747171
,,,,,,,139,22.28,131.07,49.36,14.02054645,14.33941527,14.10734397,12.23526873,5.988916838,10.22666849,13.62948734,17.40192457
,,,,,,,140,17.32,101.91,38.38,15.9158215,11.67115501,3.705156994,10.43004114,6.147470579,13.17465873,10.11150347,17.45501795
,,,,,,,141,13.22,77.76,29.28,13.8502887,13.5397619,0.158623715,10.48590647,18.99819515,7.203389046,11.52686337,17.69874051
,,,,,,,142,10.32,60.7,22.86,7.30836265,5.689960676,2.277334437,16.62387696,21.8502069,10.88516918,19.09881086,8.627960313
,,,,,,,143,7.2,42.38,15.96,0.931542823,20.54697647,16.66087708,2.283330464,3.548289191,18.150352,9.088961512,1.5249913
,,,,,,,144,4.66,27.41,10.32,3.532741828,7.358929192,14.61523244,16.77888118,1.72042036,4.745457222,4.600664374,12.25605861
,,,,,,,145,2.88,16.96,6.39,0.902021669,2.238751443,3.099827993,22.22415876,7.022939446,4.909760226,14.67430518,3.336854889
,,,,,,,146,3.71,21.82,8.22,19.83515461,11.62096743,4.843369447,15.35876581,14.0148029,13.80297007,7.101026655,0.538117361
,,,,,,,147,1.36,7.99,3.01,12.87588181,2.450338078,8.64262518,4.493897001,6.459293041,13.36585066,6.617387403,6.601650814
,,,,,,,148,2.12,12.48,4.7,13.67556934,20.54654113,20.59213759,10.00418063,22.70081045,3.799823916,7.465966457,6.025777708
,,,,,,,149,3.96,23.31,8.78,4.394761716,13.11458242,10.69940949,3.699337538,22.78179583,14.53760735,5.937477836,8.978914446
,,,,,,,150,6.5,38.25,14.4,13.22273287,15.08638519,3.092583422,10.43920245,4.417078696,10.71795843,14.26624175,7.407558066
,,,,,,,151,9.93,58.42,22,10.28016579,6.562420418,7.484587528,9.299470009,15.17924976,7.650207554,14.09189126,19.14051708
,,,,,,,152,14.06,82.7,31.15,17.37379499,7.55593866,18.97341784,22.69012848,0.312862481,7.831423163,21.28992594,21.8559079
,,,,,,,153,18.37,108.1,40.71,12.18723802,22.91725403,20.43704619,4.489643118,12.18947083,12.25626004,5.104621188,17.44958414
,,,,,,,154,23.64,139.11,52.39,8.834161568,16.74580722,2.515830293,6.583356373,16.410584,20.03310897,16.96330338,17.93633425
,,,,,,,155,27.01,158.91,59.84,9.226182534,20.11687391,7.137136299,13.88382938,20.61232086,11.56772307,9.854984623,17.2144834
,,,,,,,156,27.7,163.02,61.39,8.219901376,19.81915489,2.803383811,14.392611,8.176235567,13.97259949,21.52566534,7.795337672
,,,,,,,157,27.58,162.27,61.11,19.33595261,10.30737028,6.714887621,17.48415061,2.132451236,5.517086255,22.85617205,1.463290737
,,,,,,,158,26.75,157.41,59.28,9.215707966,20.48287033,17.10579827,9.835574572,11.12965307,6.477523795,17.61732243,19.66046442
,,,,,,,159,26.18,154.05,58.01,7.174404882,3.193477015,15.15382219,21.3419163,13.46894876,8.035895847,17.14400694,18.6977578
,,,,,,,160,25.04,147.33,55.48,4.869869177,10.20428091,5.85266435,7.874025485,21.15096368,2.443670582,1.054970392,17.51335333
,,,,,,,161,23.83,140.23,52.81,6.927955712,13.96902193,8.262188074,13.57481597,2.97530883,13.46573524,0.989974297,14.996732
,,,,,,,162,21.36,125.66,47.32,22.20659673,14.9616116,8.061592751,0.572240008,10.65160176,0.768372313,3.665672591,19.77684443
,,,,,,,163,18.37,108.1,40.71,5.729749015,9.401054684,13.19565542,4.35019976,6.203372285,15.61599169,13.69829046,13.58772519
,,,,,,,164,14.69,86.44,32.55,16.76011315,6.873271148,17.61807721,4.875792053,3.951370669,2.301944393,13.15868257,0.380184251
,,,,,,,165,11.71,68.88,25.94,3.97300749,11.67695911,7.141180768,0.571279959,10.89314462,5.053074051,11.7379289,5.502741413
,,,,,,,166,9.1,53.57,20.17,17.42782834,20.05420233,19.44629312,21.53172979,11.62027958,5.759855789,6.215267002,14.27404925
,,,,,,,167,6.56,38.62,14.55,18.38442754,21.14684319,15.47364161,4.874505365,4.788836615,11.38700559,19.46218019,21.40340608
,,,,,,,168,4.47,26.3,9.9,14.2795253,0.60422456,2.543684394,6.282509156,5.916017384,6.643579895,14.39295939,2.63052025
,,,,,,,169,1.62,9.51,3.58,22.22963226,22.90927572,3.978823177,1.234901895,16.2955375,12.5443726,15.03264887,16.06041044
,,,,,,,170,1.22,7.17,2.7,8.16218256,1.884760215,3.66149701,6.042110969,14.9278419,12.47985605,10.29295063,2.370666483
,,,,,,,171,1.75,10.29,3.88,2.154950381,2.640112863,19.82704785,6.348382671,15.3492088,17.87368154,19.99411023,12.45242897
,,,,,,,172,4,23.55,8.87,6.015877805,13.76418159,16.07055533,21.1223119,19.14687332,17.15403512,13.76664429,2.352092697
,,,,,,,173,8.24,48.5,18.27,0.70100413,20.84714918,0.884139606,16.6541382,16.36517153,7.217590243,18.27228534,15.19359502
,,,,,,,174,13.41,78.92,29.72,2.439994483,12.84533294,6.858495128,10.37791111,3.096618948,17.58196781,17.93439048,13.52562253
,,,,,,,175,16.79,98.8,37.21,4.474649579,13.46186028,11.91228335,17.96549223,5.595853174,21.48243241,2.964224087,0.04348197
,,,,,,,176,19.24,113.23,42.64,10.46675545,1.429829994,6.388257621,8.411383185,4.992120208,2.358977312,6.456067793,17.20856961
,,,,,,,177,20.24,119.08,44.84,19.24968663,6.758930085,3.092291919,15.31362912,9.44623479,0.410611887,18.29667249,20.57719943
,,,,,,,178,21.43,126.1,47.49,16.55076915,10.11436917,2.399161263,8.120339018,2.26867164,21.95669023,22.61451861,5.588405605
,,,,,,,179,25.41,149.49,56.3,8.587106005,18.92071994,6.693090118,17.44767793,16.90414038,18.02231358,4.355351419,0.562434607
,,,,,,,180,27.06,159.24,59.97,0.721305635,15.64172381,7.319155737,0.298627677,19.99101683,21.96883163,14.12918977,2.655153126
,,,,,,,181,27.86,163.92,61.73,19.45958858,9.064044114,22.75568613,7.796892274,21.11608166,18.31960113,4.912361568,14.77103737
,,,,,,,182,27.33,160.8,60.55,5.304400145,10.39025644,13.4607486,9.021829364,18.59162833,4.927020533,1.40443779,5.963972847
,,,,,,,183,27.06,159.24,59.97,16.76138334,20.29456688,11.64121222,18.38582679,21.82656842,3.980770195,9.139383208,15.27226221
,,,,,,,184,25.94,152.61,57.47,0.061545768,16.4523835,13.11192267,20.49479078,2.579279053,16.56760116,21.50111102,5.363296313
,,,,,,,185,24.61,144.81,54.53,5.507862347,21.43555211,16.0029612,5.217129866,12.06805276,11.22164983,15.26778575,20.11095403
,,,,,,,186,21.76,128.04,48.22,5.364689758,17.09843313,16.55671396,20.03014647,13.2531322,1.016732997,15.40888628,6.065686557
,,,,,,,187,18.12,106.6,40.14,8.456798105,5.657631787,18.60688645,13.9134271,3.744860351,16.33612089,10.19221279,22.48009854
,,,,,,,188,13.81,81.26,30.6,1.725250232,8.210815518,17.32416036,22.72575565,12.85691988,8.360256882,18.27322002,19.76971043
,,,,,,,189,10.5,61.76,23.26,3.914140002,12.68619442,3.502681664,0.483280724,4.0941593,13.34370951,18.34531445,19.88648591
,,,,,,,190,7.32,43.05,16.21,8.358892627,12.45755106,18.90091922,9.701531017,12.26469287,6.654651187,6.364515737,2.393371507
,,,,,,,191,4.53,26.67,10.04,18.0854065,11.52009903,16.23041553,7.38648174,16.00648186,20.24552641,15.0281185,14.09453812
,,,,,,,192,2.68,15.75,5.93,6.559873173,13.87410762,18.34161534,18.97037208,21.37893338,4.902554036,6.661204186,1.907310064
,,,,,,,193,2.49,14.67,5.53,10.32601494,20.93644366,7.648942364,1.799902777,8.985043352,3.042604511,20.43473056,15.06527234
,,,,,,,194,1.8,10.6,3.99,8.623701998,0.100292448,3.588984994,0.395686371,6.164542247,19.36043063,20.3338428,8.42736455
,,,,,,,195,1.66,9.78,3.68,13.54037002,7.843679426,8.62085003,5.093445044,11.13964153,9.369142721,17.21291225,2.448739385
