Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,ESR_1,ESR_2,region,cluster
Nuclear_4,4,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,462800,0,0,100888.6719,0,0,2.314453125,0,10.461,uranium,1000,208,0,24,24,0.17,0.17,0,0.5,0,1,1,0,0,0,0,1,0.5,0.1,0,0,7,1,0,0,1,Nuclear,0.8,1,1,4,4
PV_4_0,4,0,0,0,0,0,1,0,1,1,0,0,0,26776.0375,-1,-1,0,0,0,91685.70783,0,0,11152.63471,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,PV,0.93,0,0,4,4
Wind_4_0,4,0,0,0,0,0,1,0,3,1,0,0,0,318.829604,-1,-1,0,0,0,103515.2485,0,0,34568.125,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,1,0,1,Wind,0.8,1,1,4,4
Wind_4_1,4,0,0,0,0,0,1,0,0,1,0,0,0,970.614093,-1,-1,0,0,0,104007.8706,0,0,34568.125,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,7,0,0,0,1,Wind,0.8,1,1,4,4
Wind_4_2,4,0,0,0,0,0,1,0,0,1,0,0,0,42.2448055,-1,-1,0,0,0,95772.9665,0,0,34568.125,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Wind,0.93,0,0,4,4
Nuclear_5,5,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,462800,0,0,100888.6719,0,0,2.314453125,0,10.461,uranium,1000,208,0,24,24,0.17,0.17,0,0.5,0,1,1,0,0,0,0,1,0.5,0.1,0,0,6,0,0,0,1,Nuclear,0.8,1,1,5,5
Hydro_Res_5,5,0,0,0,0,2,0,0,0,-1,278.8,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0.1,0,1,1,0,0,0,0,1,1,1,0,0,12,0,0,1,0,Hydro_Res,0.95,0,0,5,5
Hydro_RoR_5,5,0,0,0,0,3,0,0,0,-1,283.1,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,0,0,1,0,Hydro_RoR,0.95,0,0,5,5
PV_5_0,5,0,0,0,0,0,1,0,1,1,0,0,0,798348.331,-1,-1,0,0,0,86273.17117,0,0,11152.63471,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,0,0,1,0,PV,0.95,0,0,5,5
Wind_5_0,5,0,0,0,0,0,1,0,3,1,0,0,0,15184.4395,-1,-1,0,0,0,96762.73181,0,0,34568.125,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Wind,0.93,0,0,5,5
Wind_5_1,5,0,0,0,0,0,1,0,0,1,0,0,0,16264.5417,-1,-1,0,0,0,97102.2133,0,0,34568.125,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,7,1,0,0,1,Wind,0.8,1,1,5,5
Wind_5_2,5,0,0,0,0,0,1,0,0,1,0,0,0,8163.46498,-1,-1,0,0,0,101555.2588,0,0,34568.125,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Wind,0.93,0,0,5,5
Nuclear_6,6,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,462800,0,0,100888.6719,0,0,2.314453125,0,10.461,uranium,1000,208,0,24,24,0.17,0.17,0,0.5,0,1,1,0,0,0,0,1,0.5,0.1,0,0,6,0,1,0,1,Nuclear,0.8,1,1,6,6
Hydro_Res_6,6,0,0,0,0,2,0,0,0,-1,3625.8,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0.1,0,1,1,0,0,0,0,1,1,1,0,0,7,0,0,0,1,Hydro_Res,0.8,1,1,6,6
Hydro_RoR_6,6,0,0,0,0,3,0,0,0,-1,496.6,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Hydro_RoR,0.93,0,0,6,6
PV_6_0,6,0,0,0,0,0,1,0,1,1,0,0,0,2262162.43,-1,-1,0,0,0,85379.73805,0,0,11152.63471,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,0,0,1,PV,0.8,1,1,6,6
Wind_6_0,6,0,0,0,0,0,1,0,3,1,0,0,0,57621.0431,-1,-1,0,0,0,95635.13902,0,0,34568.125,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,0,0,1,0,Wind,0.95,0,0,6,6
Wind_6_1,6,0,0,0,0,0,1,0,0,1,0,0,0,44002.5228,-1,-1,0,0,0,98081.95479,0,0,34568.125,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,0,0,1,0,Wind,0.95,0,0,6,6
Wind_6_2,6,0,0,0,0,0,1,0,0,1,0,0,0,10559.3074,-1,-1,0,0,0,99623.6162,0,0,34568.125,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,0,0,1,0,Wind,0.95,0,0,6,6
Hydro_Can,7,0,0,0,0,2,0,0,0,-1,3872.318514,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0.1,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Hydro_Can,0.93,0,0,7,7
CCGT_1,1,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,65800,0,0,10560,0,0,2.77,0,6.275,natural_gas,573,79,9.16,4,4,1,1,0,0.33,0,1,1,0,0,0,0,1,0.67,0.67,0,0,7,1,0,0,1,CCGT,0.8,1,1,1,1
CCGT_2,2,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,65800,0,0,10560,0,0,2.77,0,6.275,natural_gas,573,79,9.16,4,4,1,1,0,0.33,0,1,1,0,0,0,0,1,0.67,0.67,0,0,2,0,0,0,1,CCGT,0.93,0,0,2,2
CCGT_3,3,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,65800,0,0,10560,0,0,2.77,0,6.275,natural_gas,573,79,9.16,4,4,1,1,0,0.33,0,1,1,0,0,0,0,1,0.67,0.67,0,0,6,0,1,0,1,CCGT,0.8,1,1,3,3
CCGT_4,4,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,65800,0,0,10560,0,0,2.77,0,6.275,natural_gas,573,79,9.16,4,4,1,1,0,0.33,0,1,1,0,0,0,0,1,0.67,0.67,0,0,7,0,0,0,1,CCGT,0.8,1,1,4,4
CCGT_5,5,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,65800,0,0,10560,0,0,2.77,0,6.275,natural_gas,573,79,9.16,4,4,1,1,0,0.33,0,1,1,0,0,0,0,1,0.67,0.67,0,0,2,0,0,0,1,CCGT,0.93,0,0,5,5
CCGT_6,6,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,65800,0,0,10560,0,0,2.77,0,6.275,natural_gas,573,79,9.16,4,4,1,1,0,0.33,0,1,1,0,0,0,0,1,0.67,0.67,0,0,6,0,0,0,1,CCGT,0.8,1,1,6,6
OCGT_F_1,1,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,65700,0,0,12230,0,0,7.14,0,9.075,natural_gas,384,103,0.22,1,1,1,1,0,0.25,0,1,1,0,0,0,0,1,0.75,0.75,0,0,12,0,0,1,0,OCGT_F,0.95,0,0,1,1
OCGT_F_2,2,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,65700,0,0,12230,0,0,7.14,0,9.075,natural_gas,384,103,0.22,1,1,1,1,0,0.25,0,1,1,0,0,0,0,1,0.75,0.75,0,0,12,0,0,1,0,OCGT_F,0.95,0,0,2,2
OCGT_F_3,3,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,65700,0,0,12230,0,0,7.14,0,9.075,natural_gas,384,103,0.22,1,1,1,1,0,0.25,0,1,1,0,0,0,0,1,0.75,0.75,0,0,12,0,0,1,0,OCGT_F,0.95,0,0,3,3
OCGT_F_4,4,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,65700,0,0,12230,0,0,7.14,0,9.075,natural_gas,384,103,0.22,1,1,1,1,0,0.25,0,1,1,0,0,0,0,1,0.75,0.75,0,0,2,0,0,0,1,OCGT_F,0.93,0,0,4,4
OCGT_F_5,5,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,65700,0,0,12230,0,0,7.14,0,9.075,natural_gas,384,103,0.22,1,1,1,1,0,0.25,0,1,1,0,0,0,0,1,0.75,0.75,0,0,7,1,0,0,1,OCGT_F,0.8,1,1,5,5
OCGT_F_6,6,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,65700,0,0,12230,0,0,7.14,0,9.075,natural_gas,384,103,0.22,1,1,1,1,0,0.25,0,1,1,0,0,0,0,1,0.75,0.75,0,0,2,0,0,0,1,OCGT_F,0.93,0,0,6,6
CCGT_CCS_1,1,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,144800,0,0,33620,0,0,7.18,0,7.493,natural_gas_ccs,400,94.8,10.992,4,4,1,1,0,0.5,0,1,1,0,0,0,0,1,0.5,0.67,0,0,6,0,1,0,1,CCGT_CCS,0.8,1,1,1,1
CCGT_CCS_2,2,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,144800,0,0,33620,0,0,7.18,0,7.493,natural_gas_ccs,400,94.8,10.992,4,4,1,1,0,0.5,0,1,1,0,0,0,0,1,0.5,0.67,0,0,7,0,0,0,1,CCGT_CCS,0.8,1,1,2,2
CCGT_CCS_3,3,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,144800,0,0,33620,0,0,7.18,0,7.493,natural_gas_ccs,400,94.8,10.992,4,4,1,1,0,0.5,0,1,1,0,0,0,0,1,0.5,0.67,0,0,2,0,0,0,1,CCGT_CCS,0.93,0,0,3,3
CCGT_CCS_4,4,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,144800,0,0,33620,0,0,7.18,0,7.493,natural_gas_ccs,400,94.8,10.992,4,4,1,1,0,0.5,0,1,1,0,0,0,0,1,0.5,0.67,0,0,6,0,0,0,1,CCGT_CCS,0.8,1,1,4,4
CCGT_CCS_5,5,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,144800,0,0,33620,0,0,7.18,0,7.493,natural_gas_ccs,400,94.8,10.992,4,4,1,1,0,0.5,0,1,1,0,0,0,0,1,0.5,0.67,0,0,12,0,0,1,0,CCGT_CCS,0.95,0,0,5,5
CCGT_CCS_6,6,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,144800,0,0,33620,0,0,7.18,0,7.493,natural_gas_ccs,400,94.8,10.992,4,4,1,1,0,0.5,0,1,1,0,0,0,0,1,0.5,0.67,0,0,12,0,0,1,0,CCGT_CCS,0.95,0,0,6,6
Wind_offshore_2,2,0,0,0,0,0,1,0,1,1,0,0,0,-1,-1,-1,0,0,0,153300,0,0,48215.31478,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,0,0,1,0,Wind_offshore,0.95,0,0,2,2
Wind_offshore_4,4,0,0,0,0,0,1,0,1,1,0,0,0,-1,-1,-1,0,0,0,153300,0,0,48215.31478,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Wind_offshore,0.93,0,0,4,4
PHS_1,1,0,0,1,0,0,0,0,0,-1,0,0,0,1000,-1,-1,0,0,0,142500,0,0,41000,0,0,0.02,0,0,none,1,0,0,0,0,1,1,12.00000005,0,0,0.894427191,0.894427191,12,12,0,0,1,1,1,0,0,7,1,0,0,1,PHS,0.8,1,1,1,1
PHS_2,2,0,0,1,0,0,0,0,0,-1,1540,0,0,1700,-1,-1,0,0,0,319600,0,0,41000,0,0,0.02,0,0,none,1,0,0,0,0,1,1,12.00000005,0,0,0.894427191,0.894427191,12,12,0,0,1,1,1,0,0,2,0,0,0,1,PHS,0.93,0,0,2,2
PHS_3,3,0,0,1,0,0,0,0,0,0,31,0,0,31,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,0,1,1,12.00000005,0,0,0.894427191,0.894427191,12,12,0,0,1,1,1,0,0,6,0,1,0,1,PHS,0.8,1,1,3,3
PHS_5,5,0,0,1,0,0,0,0,0,0,1000,0,0,1000,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,0,1,1,12.00000005,0,0,0.894427191,0.894427191,12,12,0,0,1,1,1,0,0,7,0,0,0,1,PHS,0.8,1,1,5,5
PHS_6,6,0,0,1,0,0,0,0,0,-1,240,0,0,2240,-1,-1,0,0,0,142500,0,0,41000,0,0,0.02,0,0,none,1,0,0,0,0,1,1,12.00000005,0,0,0.894427191,0.894427191,12,12,0,0,1,1,1,0,0,2,0,0,0,1,PHS,0.93,0,0,6,6
Storage_bat_1,1,0,0,2,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,13200,13800,0,2452.012384,3071.216617,0,0.03,0,0,none,1,0,0,0,0,1,1,0,0,4.17E-05,0.921954446,0.921954446,0.25,200,0,0,1,1,1,0,0,6,0,0,0,1,Storage_bat,0.8,1,1,1,1
Storage_bat_2,2,0,0,2,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,13200,13800,0,2452.012384,3071.216617,0,0.03,0,0,none,1,0,0,0,0,1,1,0,0,4.17E-05,0.921954446,0.921954446,0.25,200,0,0,1,1,1,0,0,12,0,0,1,0,Storage_bat,0.95,0,0,2,2
Storage_bat_3,3,0,0,2,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,13200,13800,0,2452.012384,3071.216617,0,0.03,0,0,none,1,0,0,0,0,1,1,0,0,4.17E-05,0.921954446,0.921954446,0.25,200,0,0,1,1,1,0,0,12,0,0,1,0,Storage_bat,0.95,0,0,3,3
Storage_bat_4,4,0,0,2,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,13200,13800,0,2452.012384,3071.216617,0,0.03,0,0,none,1,0,0,0,0,1,1,0,0,4.17E-05,0.921954446,0.921954446,0.25,200,0,0,1,1,1,0,0,12,0,0,1,0,Storage_bat,0.95,0,0,4,4
Storage_bat_5,5,0,0,2,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,13200,13800,0,2452.012384,3071.216617,0,0.03,0,0,none,1,0,0,0,0,1,1,0,0,4.17E-05,0.921954446,0.921954446,0.25,200,0,0,1,1,1,0,0,2,0,0,0,1,Storage_bat,0.93,0,0,5,5
Storage_bat_6,6,0,0,2,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,13200,13800,0,2452.012384,3071.216617,0,0.03,0,0,none,1,0,0,0,0,1,1,0,0,4.17E-05,0.921954446,0.921954446,0.25,200,0,0,1,1,1,0,0,7,1,0,0,1,Storage_bat,0.8,1,1,6,6
