region,Resource,zone,Cluster,R_ID,SubsidyRevenue
NE,NE_utilitypv_class1_moderate_70_0_2_2,3,2,72,0.0
NE,NE_utilitypv_class1_moderate_70_0_2_3,3,3,73,0.0
NE,NE_utilitypv_class1_moderate_70_0_2_4,3,4,74,0.0
NE,NE_utilitypv_class1_moderate_70_0_2_5,3,5,75,0.0
NE,NE_utilitypv_class1_moderate_70_0_2_6,3,6,76,0.0
NE,NE_utilitypv_class1_moderate_70_0_2_7,3,7,77,0.0
SE,SE_landbasedwind_class4_moderate_70_1,1,1,78,0.0
SE,SE_landbasedwind_class4_moderate_70_2,1,2,79,0.0
SE,SE_landbasedwind_class4_moderate_70_3,1,3,80,0.0
SE,SE_landbasedwind_class4_moderate_70_4,1,4,81,0.0
SE,SE_landbasedwind_class4_moderate_70_5,1,5,82,0.0
SE,SE_landbasedwind_class4_moderate_70_6,1,6,83,0.0
SE,SE_landbasedwind_class4_moderate_70_7,1,7,84,0.0
SE,SE_landbasedwind_class4_moderate_70_8,1,8,85,0.0
MIDAT,MIDAT_landbasedwind_class4_moderate_70_1,2,1,86,0.0
MIDAT,MIDAT_landbasedwind_class4_moderate_70_2,2,2,87,0.0
MIDAT,MIDAT_landbasedwind_class4_moderate_70_3,2,3,88,0.0
MIDAT,MIDAT_landbasedwind_class4_moderate_70_4,2,4,89,0.0
MIDAT,MIDAT_landbasedwind_class4_moderate_70_5,2,5,90,0.0
MIDAT,MIDAT_landbasedwind_class4_moderate_70_6,2,6,91,0.0
MIDAT,MIDAT_landbasedwind_class4_moderate_70_7,2,7,92,0.0
NE,NE_landbasedwind_class4_moderate_70_1,3,1,93,0.0
NE,NE_landbasedwind_class4_moderate_70_2,3,2,94,0.0
NE,NE_landbasedwind_class4_moderate_70_3,3,3,95,0.0
NE,NE_landbasedwind_class4_moderate_70_4,3,4,96,0.0
NE,NE_landbasedwind_class4_moderate_70_5,3,5,97,0.0
NE,NE_landbasedwind_class4_moderate_70_6,3,6,98,0.0
NE,NE_landbasedwind_class4_moderate_70_7,3,7,99,0.0
