Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7
,,,,,,,25,2.49,14.67,5.53,11.38,3.89,8.27,0
,,,,,,,26,1.8,10.6,3.99,8.22,2.81,5.97,0
,,,,,,,27,1.66,9.78,3.68,7.59,2.59,5.51,0
,,,,,,,28,2.46,14.47,5.45,11.22,3.83,8.16,0
,,,,,,,29,4.43,26.09,9.82,20.24,6.91,14.71,0
,,,,,,,30,7.27,42.8,16.12,33.2,11.33,24.13,0
,,,,,,,31,10.98,64.61,24.33,50.12,17.11,36.42,0
,,,,,,,32,15,88.25,33.23,68.46,23.37,49.74,0
,,,,,,,33,18.95,111.48,41.98,86.48,29.52,62.84,0
,,,,,,,34,21.02,123.71,46.59,95.96,32.76,69.73,0
,,,,,,,35,21.68,127.58,48.05,98.97,33.78,71.92,0
,,,,,,,36,22.62,133.08,50.12,103.24,35.24,75.02,0
,,,,,,,37,24.07,141.64,53.34,109.88,37.51,79.84,0
,,,,,,,38,25.15,147.96,55.72,114.78,39.18,83.41,0
,,,,,,,39,26.32,154.89,58.33,120.15,41.01,87.31,0
,,,,,,,40,26.98,158.76,59.79,123.16,42.04,89.49,0
,,,,,,,41,25.67,151.02,56.87,117.15,39.99,85.13,0
,,,,,,,42,23.24,136.75,51.5,106.08,36.21,77.09,0
,,,,,,,43,19.29,113.52,42.75,88.06,30.06,63.99,0
,,,,,,,44,14.93,87.84,33.08,68.14,23.26,49.51,0
,,,,,,,45,11.4,67.05,25.25,52.01,17.75,37.8,0
,,,,,,,46,8.83,51.97,19.57,40.31,13.76,29.3,0
,,,,,,,47,6.2,36.48,13.74,28.3,9.66,20.56,0
,,,,,,,48,3.95,23.23,8.75,18.02,6.15,13.1,0
,,,,,,,49,1.69,9.92,3.74,7.7,2.63,5.59,0
,,,,,,,50,1.24,7.28,2.74,5.65,1.93,4.1,0
,,,,,,,51,1.74,10.25,3.86,7.95,2.72,5.78,0
,,,,,,,52,4.05,23.82,8.97,18.48,6.31,13.43,0
,,,,,,,53,8.71,51.27,19.31,39.77,13.58,28.9,0
,,,,,,,54,14,82.37,31.02,63.89,21.81,46.43,0
,,,,,,,55,17.32,101.88,38.37,79.03,26.98,57.43,0
,,,,,,,56,19.85,116.77,43.97,90.58,30.92,65.82,0
,,,,,,,57,20.91,123.06,46.34,95.46,32.58,69.37,0
,,,,,,,58,20.01,117.76,44.35,91.35,31.18,66.38,0
,,,,,,,59,19.9,117.1,44.1,90.84,31.01,66.01,0
,,,,,,,60,20.63,121.4,45.72,94.17,32.15,68.43,0
,,,,,,,61,21.93,129.01,48.58,100.08,34.16,72.72,0
,,,,,,,62,22.77,133.97,50.45,103.93,35.47,75.52,0
,,,,,,,63,24.62,144.89,54.56,112.39,38.36,81.67,0
,,,,,,,64,26.14,153.82,57.93,119.32,40.73,86.71,0
,,,,,,,65,25.41,149.52,56.31,115.99,39.59,84.28,0
,,,,,,,66,23.89,140.59,52.94,109.06,37.23,79.25,0
,,,,,,,67,19.68,115.78,43.6,89.81,30.66,65.26,0
,,,,,,,68,14.45,85.01,32.02,65.95,22.51,47.92,0
,,,,,,,69,10.46,61.53,23.17,47.73,16.29,34.68,0
,,,,,,,70,7.87,46.31,17.44,35.92,12.26,26.11,0
,,,,,,,71,4.67,27.46,10.34,21.3,7.27,15.48,0
,,,,,,,72,2.64,15.55,5.85,12.06,4.12,8.76,0
,,,,,,,73,1.76,10.36,3.9,8.04,2.74,5.84,0
,,,,,,,74,1.29,7.6,2.86,5.89,2.01,4.28,0
,,,,,,,75,1.82,10.71,4.03,8.31,2.84,6.04,0
,,,,,,,76,4.23,24.87,9.36,19.29,6.58,14.02,0
,,,,,,,77,9.1,53.54,20.16,41.53,14.18,30.18,0
,,,,,,,78,14.62,86,32.39,66.71,22.77,48.48,0
,,,,,,,79,18.08,106.38,40.06,82.52,28.17,59.97,0
,,,,,,,80,20.72,121.92,45.91,94.58,32.28,68.73,0
,,,,,,,81,21.84,128.48,48.39,99.67,34.02,72.43,0
,,,,,,,82,20.9,122.96,46.3,95.38,32.56,69.31,0
,,,,,,,83,20.78,122.27,46.04,94.85,32.37,68.92,0
,,,,,,,84,21.54,126.76,47.74,98.33,33.56,71.45,0
,,,,,,,85,22.89,134.7,50.73,104.49,35.67,75.93,0
,,,,,,,86,23.77,139.88,52.68,108.51,37.04,78.85,0
,,,,,,,87,25.71,151.28,56.97,117.35,40.06,85.28,0
,,,,,,,88,27.3,160.61,60.48,124.59,42.53,90.53,0
,,,,,,,89,26.53,156.12,58.79,121.1,41.34,88,0
,,,,,,,90,24.95,146.79,55.28,113.87,38.87,82.75,0
,,,,,,,91,20.54,120.89,45.52,93.77,32.01,68.14,0
,,,,,,,92,15.09,88.76,33.43,68.86,23.5,50.04,0
,,,,,,,93,10.92,64.24,24.19,49.83,17.01,36.21,0
,,,,,,,94,8.22,48.35,18.21,37.51,12.8,27.26,0
,,,,,,,95,4.87,28.67,10.8,22.24,7.59,16.16,0
,,,,,,,96,2.76,16.23,6.11,12.59,4.3,9.15,0
,,,,,,,97,1.86,10.95,4.12,8.49,2.9,6.17,0
,,,,,,,98,1.36,8.03,3.02,6.23,2.13,4.52,0
,,,,,,,99,1.92,11.31,4.26,8.77,2.99,6.38,0
,,,,,,,100,4.46,26.27,9.89,20.38,6.96,14.81,0
,,,,,,,101,9.61,56.55,21.3,43.87,14.97,31.88,0
,,,,,,,102,15.44,90.85,34.21,70.47,24.06,51.21,0
,,,,,,,103,19.1,112.37,42.32,87.17,29.75,63.34,0
,,,,,,,104,21.89,128.79,48.5,99.91,34.1,72.6,0
,,,,,,,105,23.07,135.72,51.11,105.28,35.94,76.51,0
,,,,,,,106,22.07,129.89,48.91,100.76,34.39,73.22,0
,,,,,,,107,21.95,129.16,48.64,100.19,34.2,72.8,0
,,,,,,,108,22.76,133.9,50.42,103.87,35.45,75.48,0
,,,,,,,109,24.18,142.29,53.58,110.38,37.68,80.21,0
,,,,,,,110,25.11,147.76,55.65,114.62,39.13,83.29,0
,,,,,,,111,27.16,159.8,60.18,123.96,42.31,90.08,0
,,,,,,,112,28.83,169.65,63.89,131.6,44.92,95.63,0
,,,,,,,113,28.03,164.91,62.1,127.93,43.67,92.96,0
,,,,,,,114,26.35,155.06,58.39,120.28,41.06,87.41,0
,,,,,,,115,21.7,127.7,48.09,99.06,33.81,71.98,0
,,,,,,,116,15.94,93.77,35.31,72.74,24.83,52.86,0
,,,,,,,117,11.53,67.86,25.56,52.64,17.97,38.25,0
,,,,,,,118,8.68,51.08,19.24,39.62,13.52,28.79,0
,,,,,,,119,5.15,30.28,11.4,23.49,8.02,17.07,0
,,,,,,,120,2.91,17.15,6.46,13.3,4.54,9.67,0
,,,,,,,121,2.86,16.85,6.35,13.07,4.46,9.5,0
,,,,,,,122,2.02,11.89,4.48,9.22,3.15,6.7,0
,,,,,,,123,1.96,11.51,4.34,8.93,3.05,6.49,0
,,,,,,,124,2.74,16.15,6.08,12.52,4.27,9.1,0
,,,,,,,125,5.09,29.95,11.28,23.24,7.93,16.88,0
,,,,,,,126,8.36,49.18,18.52,38.15,13.02,27.73,0
,,,,,,,127,12.69,74.67,28.12,57.93,19.77,42.09,0
,,,,,,,128,17.24,101.41,38.19,78.67,26.85,57.17,0
,,,,,,,129,21.85,128.57,48.42,99.74,34.04,72.48,0
,,,,,,,130,24.2,142.38,53.62,110.45,37.7,80.26,0
,,,,,,,131,24.98,147.01,55.36,114.04,38.93,82.87,0
,,,,,,,132,26.13,153.73,57.89,119.25,40.7,86.66,0
,,,,,,,133,27.76,163.36,61.52,126.73,43.26,92.09,0
,,,,,,,134,28.98,170.5,64.21,132.26,45.15,96.11,0
,,,,,,,135,30.4,178.88,67.36,138.76,47.37,100.84,0
,,,,,,,136,31.19,183.51,69.11,142.36,48.59,103.45,0
,,,,,,,137,29.64,174.38,65.67,135.27,46.17,98.3,0
,,,,,,,138,26.81,157.73,59.4,122.36,41.77,88.91,0
,,,,,,,139,22.28,131.07,49.36,101.68,34.71,73.89,0
,,,,,,,140,17.32,101.91,38.38,79.06,26.99,57.45,0
,,,,,,,141,13.22,77.76,29.28,60.32,20.59,43.83,0
,,,,,,,142,10.32,60.7,22.86,47.09,16.07,34.22,0
,,,,,,,143,7.2,42.38,15.96,32.88,11.22,23.89,0
,,,,,,,144,4.66,27.41,10.32,21.26,7.26,15.45,0
,,,,,,,145,2.88,16.96,6.39,13.16,4.49,9.56,0
,,,,,,,146,3.71,21.82,8.22,16.92,5.78,12.3,0
,,,,,,,147,1.36,7.99,3.01,6.2,2.12,4.51,0
,,,,,,,148,2.12,12.48,4.7,9.68,3.3,7.03,0
,,,,,,,149,3.96,23.31,8.78,18.08,6.17,13.14,0
,,,,,,,150,6.5,38.25,14.4,29.67,10.13,21.56,0
,,,,,,,151,9.93,58.42,22,45.32,15.47,32.93,0
,,,,,,,152,14.06,82.7,31.15,64.15,21.9,46.62,0
,,,,,,,153,18.37,108.1,40.71,83.86,28.62,60.94,0
,,,,,,,154,23.64,139.11,52.39,107.91,36.83,78.42,0
,,,,,,,155,27.01,158.91,59.84,123.27,42.08,89.58,0
,,,,,,,156,27.7,163.02,61.39,126.45,43.16,91.89,0
,,,,,,,157,27.58,162.27,61.11,125.88,42.97,91.47,0
,,,,,,,158,26.75,157.41,59.28,122.11,41.68,88.73,0
,,,,,,,159,26.18,154.05,58.01,119.5,40.79,86.84,0
,,,,,,,160,25.04,147.33,55.48,114.28,39.01,83.05,0
,,,,,,,161,23.83,140.23,52.81,108.78,37.13,79.05,0
,,,,,,,162,21.36,125.66,47.32,97.48,33.27,70.83,0
,,,,,,,163,18.37,108.1,40.71,83.86,28.62,60.94,0
,,,,,,,164,14.69,86.44,32.55,67.05,22.89,48.73,0
,,,,,,,165,11.71,68.88,25.94,53.43,18.24,38.83,0
,,,,,,,166,9.1,53.57,20.17,41.55,14.18,30.2,0
,,,,,,,167,6.56,38.62,14.55,29.96,10.23,21.77,0
,,,,,,,168,4.47,26.3,9.9,20.4,6.96,14.82,0
,,,,,,,169,1.62,9.51,3.58,7.38,2.52,5.36,0
,,,,,,,170,1.22,7.17,2.7,5.57,1.9,4.04,0
,,,,,,,171,1.75,10.29,3.88,7.98,2.73,5.8,0
,,,,,,,172,4,23.55,8.87,18.27,6.24,13.28,0
,,,,,,,173,8.24,48.5,18.27,37.63,12.84,27.34,0
,,,,,,,174,13.41,78.92,29.72,61.22,20.9,44.49,0
,,,,,,,175,16.79,98.8,37.21,76.64,26.16,55.69,0
,,,,,,,176,19.24,113.23,42.64,87.83,29.98,63.83,0
,,,,,,,177,20.24,119.08,44.84,92.37,31.53,67.12,0
,,,,,,,178,21.43,126.1,47.49,97.82,33.39,71.08,0
,,,,,,,179,25.41,149.49,56.3,115.96,39.58,84.27,0
,,,,,,,180,27.06,159.24,59.97,123.52,42.16,89.76,0
,,,,,,,181,27.86,163.92,61.73,127.15,43.4,92.4,0
,,,,,,,182,27.33,160.8,60.55,124.73,42.58,90.64,0
,,,,,,,183,27.06,159.24,59.97,123.52,42.16,89.76,0
,,,,,,,184,25.94,152.61,57.47,118.38,40.41,86.03,0
,,,,,,,185,24.61,144.81,54.53,112.33,38.34,81.63,0
,,,,,,,186,21.76,128.04,48.22,99.33,33.9,72.18,0
,,,,,,,187,18.12,106.6,40.14,82.69,28.23,60.09,0
,,,,,,,188,13.81,81.26,30.6,63.03,21.52,45.8,0
,,,,,,,189,10.5,61.76,23.26,47.91,16.35,34.81,0
,,,,,,,190,7.32,43.05,16.21,33.39,11.4,24.26,0
,,,,,,,191,4.53,26.67,10.04,20.69,7.06,15.03,0
,,,,,,,192,2.68,15.75,5.93,12.22,4.17,8.88,0
,,,,,,,193,2.49,14.67,5.53,11.38,3.89,8.27,0
,,,,,,,194,1.8,10.6,3.99,8.22,2.81,5.97,0
,,,,,,,195,1.66,9.78,3.68,7.59,2.59,5.51,0
,,,,,,,196,2.46,14.47,5.45,11.22,3.83,8.16,0
,,,,,,,197,4.43,26.09,9.82,20.24,6.91,14.71,0
,,,,,,,198,7.27,42.8,16.12,33.2,11.33,24.13,0
,,,,,,,199,10.98,64.61,24.33,50.12,17.11,36.42,0
,,,,,,,200,15,88.25,33.23,68.46,23.37,49.74,0
,,,,,,,201,18.95,111.48,41.98,86.48,29.52,62.84,0
,,,,,,,202,21.02,123.71,46.59,95.96,32.76,69.73,0
,,,,,,,203,21.68,127.58,48.05,98.97,33.78,71.92,0
,,,,,,,204,22.62,133.08,50.12,103.24,35.24,75.02,0
,,,,,,,205,24.07,141.64,53.34,109.88,37.51,79.84,0
,,,,,,,206,25.15,147.96,55.72,114.78,39.18,83.41,0
,,,,,,,207,26.32,154.89,58.33,120.15,41.01,87.31,0
,,,,,,,208,26.98,158.76,59.79,123.16,42.04,89.49,0
,,,,,,,209,25.67,151.02,56.87,117.15,39.99,85.13,0
,,,,,,,210,23.24,136.75,51.5,106.08,36.21,77.09,0
,,,,,,,211,19.29,113.52,42.75,88.06,30.06,63.99,0
,,,,,,,212,14.93,87.84,33.08,68.14,23.26,49.51,0
,,,,,,,213,11.4,67.05,25.25,52.01,17.75,37.8,0
,,,,,,,214,8.83,51.97,19.57,40.31,13.76,29.3,0
,,,,,,,215,6.2,36.48,13.74,28.3,9.66,20.56,0
,,,,,,,216,3.95,23.23,8.75,18.02,6.15,13.1,0
,,,,,,,217,1.69,9.92,3.74,7.7,2.63,5.59,0
,,,,,,,218,1.24,7.28,2.74,5.65,1.93,4.1,0
,,,,,,,219,1.74,10.25,3.86,7.95,2.72,5.78,0
,,,,,,,220,4.05,23.82,8.97,18.48,6.31,13.43,0
,,,,,,,221,8.71,51.27,19.31,39.77,13.58,28.9,0
,,,,,,,222,14,82.37,31.02,63.89,21.81,46.43,0
,,,,,,,223,17.32,101.88,38.37,79.03,26.98,57.43,0
,,,,,,,224,19.85,116.77,43.97,90.58,30.92,65.82,0
,,,,,,,225,20.91,123.06,46.34,95.46,32.58,69.37,0
,,,,,,,226,20.01,117.76,44.35,91.35,31.18,66.38,0
,,,,,,,227,19.9,117.1,44.1,90.84,31.01,66.01,0
,,,,,,,228,20.63,121.4,45.72,94.17,32.15,68.43,0
,,,,,,,229,21.93,129.01,48.58,100.08,34.16,72.72,0
,,,,,,,230,22.77,133.97,50.45,103.93,35.47,75.52,0
,,,,,,,231,24.62,144.89,54.56,112.39,38.36,81.67,0
,,,,,,,232,26.14,153.82,57.93,119.32,40.73,86.71,0
,,,,,,,233,25.41,149.52,56.31,115.99,39.59,84.28,0
,,,,,,,234,23.89,140.59,52.94,109.06,37.23,79.25,0
,,,,,,,235,19.68,115.78,43.6,89.81,30.66,65.26,0
,,,,,,,236,14.45,85.01,32.02,65.95,22.51,47.92,0
,,,,,,,237,10.46,61.53,23.17,47.73,16.29,34.68,0
,,,,,,,238,7.87,46.31,17.44,35.92,12.26,26.11,0
,,,,,,,239,4.67,27.46,10.34,21.3,7.27,15.48,0
,,,,,,,240,2.64,15.55,5.85,12.06,4.12,8.76,0
,,,,,,,241,1.76,10.36,3.9,8.04,2.74,5.84,0
,,,,,,,242,1.29,7.6,2.86,5.89,2.01,4.28,0
,,,,,,,243,1.82,10.71,4.03,8.31,2.84,6.04,0
,,,,,,,244,4.23,24.87,9.36,19.29,6.58,14.02,0
,,,,,,,245,9.1,53.54,20.16,41.53,14.18,30.18,0
,,,,,,,246,14.62,86,32.39,66.71,22.77,48.48,0
,,,,,,,247,18.08,106.38,40.06,82.52,28.17,59.97,0
,,,,,,,248,20.72,121.92,45.91,94.58,32.28,68.73,0
,,,,,,,249,21.84,128.48,48.39,99.67,34.02,72.43,0
,,,,,,,250,20.9,122.96,46.3,95.38,32.56,69.31,0
,,,,,,,251,20.78,122.27,46.04,94.85,32.37,68.92,0
,,,,,,,252,21.54,126.76,47.74,98.33,33.56,71.45,0
,,,,,,,253,22.89,134.7,50.73,104.49,35.67,75.93,0
,,,,,,,254,23.77,139.88,52.68,108.51,37.04,78.85,0
,,,,,,,255,25.71,151.28,56.97,117.35,40.06,85.28,0
,,,,,,,256,27.3,160.61,60.48,124.59,42.53,90.53,0
,,,,,,,257,26.53,156.12,58.79,121.1,41.34,88,0
,,,,,,,258,24.95,146.79,55.28,113.87,38.87,82.75,0
,,,,,,,259,20.54,120.89,45.52,93.77,32.01,68.14,0
,,,,,,,260,15.09,88.76,33.43,68.86,23.5,50.04,0
,,,,,,,261,10.92,64.24,24.19,49.83,17.01,36.21,0
,,,,,,,262,8.22,48.35,18.21,37.51,12.8,27.26,0
,,,,,,,263,4.87,28.67,10.8,22.24,7.59,16.16,0
,,,,,,,264,2.76,16.23,6.11,12.59,4.3,9.15,0
,,,,,,,265,1.86,10.95,4.12,8.49,2.9,6.17,0
,,,,,,,266,1.36,8.03,3.02,6.23,2.13,4.52,0
,,,,,,,267,1.92,11.31,4.26,8.77,2.99,6.38,0
,,,,,,,268,4.46,26.27,9.89,20.38,6.96,14.81,0
,,,,,,,269,9.61,56.55,21.3,43.87,14.97,31.88,0
,,,,,,,270,15.44,90.85,34.21,70.47,24.06,51.21,0
,,,,,,,271,19.1,112.37,42.32,87.17,29.75,63.34,0
,,,,,,,272,21.89,128.79,48.5,99.91,34.1,72.6,0
,,,,,,,273,23.07,135.72,51.11,105.28,35.94,76.51,0
,,,,,,,274,22.07,129.89,48.91,100.76,34.39,73.22,0
,,,,,,,275,21.95,129.16,48.64,100.19,34.2,72.8,0
,,,,,,,276,22.76,133.9,50.42,103.87,35.45,75.48,0
,,,,,,,277,24.18,142.29,53.58,110.38,37.68,80.21,0
,,,,,,,278,25.11,147.76,55.65,114.62,39.13,83.29,0
,,,,,,,279,27.16,159.8,60.18,123.96,42.31,90.08,0
,,,,,,,280,28.83,169.65,63.89,131.6,44.92,95.63,0
,,,,,,,281,28.03,164.91,62.1,127.93,43.67,92.96,0
,,,,,,,282,26.35,155.06,58.39,120.28,41.06,87.41,0
,,,,,,,283,21.7,127.7,48.09,99.06,33.81,71.98,0
,,,,,,,284,15.94,93.77,35.31,72.74,24.83,52.86,0
,,,,,,,285,11.53,67.86,25.56,52.64,17.97,38.25,0
,,,,,,,286,8.68,51.08,19.24,39.62,13.52,28.79,0
,,,,,,,287,5.15,30.28,11.4,23.49,8.02,17.07,0
,,,,,,,288,2.91,17.15,6.46,13.3,4.54,9.67,0
,,,,,,,289,2.86,16.85,6.35,13.07,4.46,9.5,0
,,,,,,,290,2.02,11.89,4.48,9.22,3.15,6.7,0
,,,,,,,291,1.96,11.51,4.34,8.93,3.05,6.49,0
,,,,,,,292,2.74,16.15,6.08,12.52,4.27,9.1,0
,,,,,,,293,5.09,29.95,11.28,23.24,7.93,16.88,0
,,,,,,,294,8.36,49.18,18.52,38.15,13.02,27.73,0
,,,,,,,295,12.69,74.67,28.12,57.93,19.77,42.09,0
,,,,,,,296,17.24,101.41,38.19,78.67,26.85,57.17,0
,,,,,,,297,21.85,128.57,48.42,99.74,34.04,72.48,0
,,,,,,,298,24.2,142.38,53.62,110.45,37.7,80.26,0
,,,,,,,299,24.98,147.01,55.36,114.04,38.93,82.87,0
,,,,,,,300,26.13,153.73,57.89,119.25,40.7,86.66,0
,,,,,,,301,27.76,163.36,61.52,126.73,43.26,92.09,0
,,,,,,,302,28.98,170.5,64.21,132.26,45.15,96.11,0
,,,,,,,303,30.4,178.88,67.36,138.76,47.37,100.84,0
,,,,,,,304,31.19,183.51,69.11,142.36,48.59,103.45,0
,,,,,,,305,29.64,174.38,65.67,135.27,46.17,98.3,0
,,,,,,,306,26.81,157.73,59.4,122.36,41.77,88.91,0
,,,,,,,307,22.28,131.07,49.36,101.68,34.71,73.89,0
,,,,,,,308,17.32,101.91,38.38,79.06,26.99,57.45,0
,,,,,,,309,13.22,77.76,29.28,60.32,20.59,43.83,0
,,,,,,,310,10.32,60.7,22.86,47.09,16.07,34.22,0
,,,,,,,311,7.2,42.38,15.96,32.88,11.22,23.89,0
,,,,,,,312,4.66,27.41,10.32,21.26,7.26,15.45,0
,,,,,,,313,2.88,16.96,6.39,13.16,4.49,9.56,0
,,,,,,,314,3.71,21.82,8.22,16.92,5.78,12.3,0
,,,,,,,315,1.36,7.99,3.01,6.2,2.12,4.51,0
,,,,,,,316,2.12,12.48,4.7,9.68,3.3,7.03,0
,,,,,,,317,3.96,23.31,8.78,18.08,6.17,13.14,0
,,,,,,,318,6.5,38.25,14.4,29.67,10.13,21.56,0
,,,,,,,319,9.93,58.42,22,45.32,15.47,32.93,0
,,,,,,,320,14.06,82.7,31.15,64.15,21.9,46.62,0
,,,,,,,321,18.37,108.1,40.71,83.86,28.62,60.94,0
,,,,,,,322,23.64,139.11,52.39,107.91,36.83,78.42,0
,,,,,,,323,27.01,158.91,59.84,123.27,42.08,89.58,0
,,,,,,,324,27.7,163.02,61.39,126.45,43.16,91.89,0
,,,,,,,325,27.58,162.27,61.11,125.88,42.97,91.47,0
,,,,,,,326,26.75,157.41,59.28,122.11,41.68,88.73,0
,,,,,,,327,26.18,154.05,58.01,119.5,40.79,86.84,0
,,,,,,,328,25.04,147.33,55.48,114.28,39.01,83.05,0
,,,,,,,329,23.83,140.23,52.81,108.78,37.13,79.05,0
,,,,,,,330,21.36,125.66,47.32,97.48,33.27,70.83,0
,,,,,,,331,18.37,108.1,40.71,83.86,28.62,60.94,0
,,,,,,,332,14.69,86.44,32.55,67.05,22.89,48.73,0
,,,,,,,333,11.71,68.88,25.94,53.43,18.24,38.83,0
,,,,,,,334,9.1,53.57,20.17,41.55,14.18,30.2,0
,,,,,,,335,6.56,38.62,14.55,29.96,10.23,21.77,0
,,,,,,,336,4.47,26.3,9.9,20.4,6.96,14.82,0
,,,,,,,337,1.62,9.51,3.58,7.38,2.52,5.36,0
,,,,,,,338,1.22,7.17,2.7,5.57,1.9,4.04,0
,,,,,,,339,1.75,10.29,3.88,7.98,2.73,5.8,0
,,,,,,,340,4,23.55,8.87,18.27,6.24,13.28,0
,,,,,,,341,8.24,48.5,18.27,37.63,12.84,27.34,0
,,,,,,,342,13.41,78.92,29.72,61.22,20.9,44.49,0
,,,,,,,343,16.79,98.8,37.21,76.64,26.16,55.69,0
,,,,,,,344,19.24,113.23,42.64,87.83,29.98,63.83,0
,,,,,,,345,20.24,119.08,44.84,92.37,31.53,67.12,0
,,,,,,,346,21.43,126.1,47.49,97.82,33.39,71.08,0
,,,,,,,347,25.41,149.49,56.3,115.96,39.58,84.27,0
,,,,,,,348,27.06,159.24,59.97,123.52,42.16,89.76,0
,,,,,,,349,27.86,163.92,61.73,127.15,43.4,92.4,0
,,,,,,,350,27.33,160.8,60.55,124.73,42.58,90.64,0
,,,,,,,351,27.06,159.24,59.97,123.52,42.16,89.76,0
,,,,,,,352,25.94,152.61,57.47,118.38,40.41,86.03,0
,,,,,,,353,24.61,144.81,54.53,112.33,38.34,81.63,0
,,,,,,,354,21.76,128.04,48.22,99.33,33.9,72.18,0
,,,,,,,355,18.12,106.6,40.14,82.69,28.23,60.09,0
,,,,,,,356,13.81,81.26,30.6,63.03,21.52,45.8,0
,,,,,,,357,10.5,61.76,23.26,47.91,16.35,34.81,0
,,,,,,,358,7.32,43.05,16.21,33.39,11.4,24.26,0
,,,,,,,359,4.53,26.67,10.04,20.69,7.06,15.03,0
,,,,,,,360,2.68,15.75,5.93,12.22,4.17,8.88,0
,,,,,,,361,2.49,14.67,5.53,11.38,3.89,8.27,0
,,,,,,,362,1.8,10.6,3.99,8.22,2.81,5.97,0
,,,,,,,363,1.66,9.78,3.68,7.59,2.59,5.51,0
,,,,,,,364,2.46,14.47,5.45,11.22,3.83,8.16,0
,,,,,,,365,4.43,26.09,9.82,20.24,6.91,14.71,0
,,,,,,,366,7.27,42.8,16.12,33.2,11.33,24.13,0
,,,,,,,367,10.98,64.61,24.33,50.12,17.11,36.42,0
,,,,,,,368,15,88.25,33.23,68.46,23.37,49.74,0
,,,,,,,369,18.95,111.48,41.98,86.48,29.52,62.84,0
,,,,,,,370,21.02,123.71,46.59,95.96,32.76,69.73,0
,,,,,,,371,21.68,127.58,48.05,98.97,33.78,71.92,0
,,,,,,,372,22.62,133.08,50.12,103.24,35.24,75.02,0
,,,,,,,373,24.07,141.64,53.34,109.88,37.51,79.84,0
,,,,,,,374,25.15,147.96,55.72,114.78,39.18,83.41,0
,,,,,,,375,26.32,154.89,58.33,120.15,41.01,87.31,0
,,,,,,,376,26.98,158.76,59.79,123.16,42.04,89.49,0
,,,,,,,377,25.67,151.02,56.87,117.15,39.99,85.13,0
,,,,,,,378,23.24,136.75,51.5,106.08,36.21,77.09,0
,,,,,,,379,19.29,113.52,42.75,88.06,30.06,63.99,0
,,,,,,,380,14.93,87.84,33.08,68.14,23.26,49.51,0
,,,,,,,381,11.4,67.05,25.25,52.01,17.75,37.8,0
,,,,,,,382,8.83,51.97,19.57,40.31,13.76,29.3,0
,,,,,,,383,6.2,36.48,13.74,28.3,9.66,20.56,0
,,,,,,,384,3.95,23.23,8.75,18.02,6.15,13.1,0
,,,,,,,385,1.69,9.92,3.74,7.7,2.63,5.59,0
,,,,,,,386,1.24,7.28,2.74,5.65,1.93,4.1,0
,,,,,,,387,1.74,10.25,3.86,7.95,2.72,5.78,0
,,,,,,,388,4.05,23.82,8.97,18.48,6.31,13.43,0
