Time_Index,CT_NG,ME_NG,MA_NG,CT_NG_CCS_90pct,ME_NG_CCS_90pct,MA_NG_CCS_90pct,None,MA_NG_CCS
177,3,3,3,3,3,3,0,3
178,3,3,3,3,3,3,0,3
179,3,3,3,3,3,3,0,3
180,3,3,3,3,3,3,0,3
181,3,3,3,3,3,3,0,3
182,3,3,3,3,3,3,0,3
183,3,3,3,3,3,3,0,3
184,3,3,3,3,3,3,0,3
185,3,3,3,3,3,3,0,3
186,3,3,3,3,3,3,0,3
187,3,3,3,3,3,3,0,3
188,3,3,3,3,3,3,0,3
189,3,3,3,3,3,3,0,3
190,3,3,3,3,3,3,0,3
191,3,3,3,3,3,3,0,3
192,3,3,3,3,3,3,0,3
193,3,3,3,3,3,3,0,3
194,3,3,3,3,3,3,0,3
195,3,3,3,3,3,3,0,3
196,3,3,3,3,3,3,0,3
197,3,3,3,3,3,3,0,3
198,3,3,3,3,3,3,0,3
199,3,3,3,3,3,3,0,3
200,3,3,3,3,3,3,0,3
201,3,3,3,3,3,3,0,3
202,3,3,3,3,3,3,0,3
203,3,3,3,3,3,3,0,3
204,3,3,3,3,3,3,0,3
205,3,3,3,3,3,3,0,3
206,3,3,3,3,3,3,0,3
207,3,3,3,3,3,3,0,3
208,3,3,3,3,3,3,0,3
209,3,3,3,3,3,3,0,3
210,3,3,3,3,3,3,0,3
211,3,3,3,3,3,3,0,3
212,3,3,3,3,3,3,0,3
213,3,3,3,3,3,3,0,3
214,3,3,3,3,3,3,0,3
215,3,3,3,3,3,3,0,3
216,3,3,3,3,3,3,0,3
217,3,3,3,3,3,3,0,3
218,3,3,3,3,3,3,0,3
219,3,3,3,3,3,3,0,3
220,3,3,3,3,3,3,0,3
221,3,3,3,3,3,3,0,3
222,3,3,3,3,3,3,0,3
223,3,3,3,3,3,3,0,3
224,3,3,3,3,3,3,0,3
225,3,3,3,3,3,3,0,3
226,3,3,3,3,3,3,0,3
227,3,3,3,3,3,3,0,3
228,3,3,3,3,3,3,0,3
229,3,3,3,3,3,3,0,3
230,3,3,3,3,3,3,0,3
231,3,3,3,3,3,3,0,3
232,3,3,3,3,3,3,0,3
233,3,3,3,3,3,3,0,3
234,3,3,3,3,3,3,0,3
235,3,3,3,3,3,3,0,3
236,3,3,3,3,3,3,0,3
237,3,3,3,3,3,3,0,3
238,3,3,3,3,3,3,0,3
239,3,3,3,3,3,3,0,3
240,3,3,3,3,3,3,0,3
241,3,3,3,3,3,3,0,3
242,3,3,3,3,3,3,0,3
243,3,3,3,3,3,3,0,3
244,3,3,3,3,3,3,0,3
245,3,3,3,3,3,3,0,3
246,3,3,3,3,3,3,0,3
247,3,3,3,3,3,3,0,3
248,3,3,3,3,3,3,0,3
249,3,3,3,3,3,3,0,3
250,3,3,3,3,3,3,0,3
251,3,3,3,3,3,3,0,3
252,3,3,3,3,3,3,0,3
253,3,3,3,3,3,3,0,3
254,3,3,3,3,3,3,0,3
255,3,3,3,3,3,3,0,3
256,3,3,3,3,3,3,0,3
257,3,3,3,3,3,3,0,3
258,3,3,3,3,3,3,0,3
259,3,3,3,3,3,3,0,3
260,3,3,3,3,3,3,0,3
261,3,3,3,3,3,3,0,3
262,3,3,3,3,3,3,0,3
263,3,3,3,3,3,3,0,3
264,3,3,3,3,3,3,0,3
265,3,3,3,3,3,3,0,3
266,3,3,3,3,3,3,0,3
267,3,3,3,3,3,3,0,3
268,3,3,3,3,3,3,0,3
269,3,3,3,3,3,3,0,3
270,3,3,3,3,3,3,0,3
271,3,3,3,3,3,3,0,3
272,3,3,3,3,3,3,0,3
273,3,3,3,3,3,3,0,3
274,3,3,3,3,3,3,0,3
275,3,3,3,3,3,3,0,3
276,3,3,3,3,3,3,0,3
277,3,3,3,3,3,3,0,3
278,3,3,3,3,3,3,0,3
279,3,3,3,3,3,3,0,3
280,3,3,3,3,3,3,0,3
281,3,3,3,3,3,3,0,3
282,3,3,3,3,3,3,0,3
283,3,3,3,3,3,3,0,3
284,3,3,3,3,3,3,0,3
285,3,3,3,3,3,3,0,3
286,3,3,3,3,3,3,0,3
287,3,3,3,3,3,3,0,3
288,3,3,3,3,3,3,0,3
289,3,3,3,3,3,3,0,3
290,3,3,3,3,3,3,0,3
291,3,3,3,3,3,3,0,3
292,3,3,3,3,3,3,0,3
293,3,3,3,3,3,3,0,3
294,3,3,3,3,3,3,0,3
295,3,3,3,3,3,3,0,3
296,3,3,3,3,3,3,0,3
297,3,3,3,3,3,3,0,3
298,3,3,3,3,3,3,0,3
299,3,3,3,3,3,3,0,3
300,3,3,3,3,3,3,0,3
301,3,3,3,3,3,3,0,3
302,3,3,3,3,3,3,0,3
303,3,3,3,3,3,3,0,3
304,3,3,3,3,3,3,0,3
305,3,3,3,3,3,3,0,3
306,3,3,3,3,3,3,0,3
307,3,3,3,3,3,3,0,3
308,3,3,3,3,3,3,0,3
309,3,3,3,3,3,3,0,3
310,3,3,3,3,3,3,0,3
311,3,3,3,3,3,3,0,3
312,3,3,3,3,3,3,0,3
313,3,3,3,3,3,3,0,3
314,3,3,3,3,3,3,0,3
315,3,3,3,3,3,3,0,3
316,3,3,3,3,3,3,0,3
317,3,3,3,3,3,3,0,3
318,3,3,3,3,3,3,0,3
319,3,3,3,3,3,3,0,3
320,3,3,3,3,3,3,0,3
321,3,3,3,3,3,3,0,3
322,3,3,3,3,3,3,0,3
323,3,3,3,3,3,3,0,3
324,3,3,3,3,3,3,0,3
325,3,3,3,3,3,3,0,3
326,3,3,3,3,3,3,0,3
327,3,3,3,3,3,3,0,3
328,3,3,3,3,3,3,0,3
329,3,3,3,3,3,3,0,3
330,3,3,3,3,3,3,0,3
331,3,3,3,3,3,3,0,3
332,3,3,3,3,3,3,0,3
333,3,3,3,3,3,3,0,3
334,3,3,3,3,3,3,0,3
335,3,3,3,3,3,3,0,3
336,3,3,3,3,3,3,0,3
337,3,3,3,3,3,3,0,3
338,3,3,3,3,3,3,0,3
339,3,3,3,3,3,3,0,3
340,3,3,3,3,3,3,0,3
341,3,3,3,3,3,3,0,3
342,3,3,3,3,3,3,0,3
343,3,3,3,3,3,3,0,3
344,3,3,3,3,3,3,0,3
345,3,3,3,3,3,3,0,3
346,3,3,3,3,3,3,0,3
347,3,3,3,3,3,3,0,3
348,3,3,3,3,3,3,0,3
349,3,3,3,3,3,3,0,3
350,3,3,3,3,3,3,0,3
351,3,3,3,3,3,3,0,3
352,3,3,3,3,3,3,0,3
353,3,3,3,3,3,3,0,3
354,3,3,3,3,3,3,0,3
355,3,3,3,3,3,3,0,3
356,3,3,3,3,3,3,0,3
357,3,3,3,3,3,3,0,3
358,3,3,3,3,3,3,0,3
359,3,3,3,3,3,3,0,3
360,3,3,3,3,3,3,0,3
361,3,3,3,3,3,3,0,3
362,3,3,3,3,3,3,0,3
363,3,3,3,3,3,3,0,3
364,3,3,3,3,3,3,0,3
365,3,3,3,3,3,3,0,3
366,3,3,3,3,3,3,0,3
367,3,3,3,3,3,3,0,3
368,3,3,3,3,3,3,0,3
369,3,3,3,3,3,3,0,3
370,3,3,3,3,3,3,0,3
371,3,3,3,3,3,3,0,3
372,3,3,3,3,3,3,0,3
373,3,3,3,3,3,3,0,3
374,3,3,3,3,3,3,0,3
375,3,3,3,3,3,3,0,3
376,3,3,3,3,3,3,0,3
377,3,3,3,3,3,3,0,3
378,3,3,3,3,3,3,0,3
379,3,3,3,3,3,3,0,3
380,3,3,3,3,3,3,0,3
381,3,3,3,3,3,3,0,3
382,3,3,3,3,3,3,0,3
383,3,3,3,3,3,3,0,3
384,3,3,3,3,3,3,0,3
385,3,3,3,3,3,3,0,3
386,3,3,3,3,3,3,0,3
387,3,3,3,3,3,3,0,3
388,3,3,3,3,3,3,0,3
389,3,3,3,3,3,3,0,3
390,3,3,3,3,3,3,0,3
391,3,3,3,3,3,3,0,3
392,3,3,3,3,3,3,0,3
393,3,3,3,3,3,3,0,3
394,3,3,3,3,3,3,0,3
395,3,3,3,3,3,3,0,3
396,3,3,3,3,3,3,0,3
397,3,3,3,3,3,3,0,3
398,3,3,3,3,3,3,0,3
399,3,3,3,3,3,3,0,3
400,3,3,3,3,3,3,0,3
401,3,3,3,3,3,3,0,3
402,3,3,3,3,3,3,0,3
403,3,3,3,3,3,3,0,3
404,3,3,3,3,3,3,0,3
405,3,3,3,3,3,3,0,3
406,3,3,3,3,3,3,0,3
407,3,3,3,3,3,3,0,3
408,3,3,3,3,3,3,0,3
409,3,3,3,3,3,3,0,3
410,3,3,3,3,3,3,0,3
411,3,3,3,3,3,3,0,3
412,3,3,3,3,3,3,0,3
413,3,3,3,3,3,3,0,3
414,3,3,3,3,3,3,0,3
415,3,3,3,3,3,3,0,3
416,3,3,3,3,3,3,0,3
417,3,3,3,3,3,3,0,3
418,3,3,3,3,3,3,0,3
419,3,3,3,3,3,3,0,3
420,3,3,3,3,3,3,0,3
421,3,3,3,3,3,3,0,3
422,3,3,3,3,3,3,0,3
423,3,3,3,3,3,3,0,3
424,3,3,3,3,3,3,0,3
425,3,3,3,3,3,3,0,3
426,3,3,3,3,3,3,0,3
427,3,3,3,3,3,3,0,3
428,3,3,3,3,3,3,0,3
429,3,3,3,3,3,3,0,3
430,3,3,3,3,3,3,0,3
431,3,3,3,3,3,3,0,3
432,3,3,3,3,3,3,0,3
433,3,3,3,3,3,3,0,3
434,3,3,3,3,3,3,0,3
435,3,3,3,3,3,3,0,3
436,3,3,3,3,3,3,0,3
437,3,3,3,3,3,3,0,3
438,3,3,3,3,3,3,0,3
439,3,3,3,3,3,3,0,3
440,3,3,3,3,3,3,0,3
441,3,3,3,3,3,3,0,3
442,3,3,3,3,3,3,0,3
443,3,3,3,3,3,3,0,3
444,3,3,3,3,3,3,0,3
445,3,3,3,3,3,3,0,3
446,3,3,3,3,3,3,0,3
447,3,3,3,3,3,3,0,3
448,3,3,3,3,3,3,0,3
449,3,3,3,3,3,3,0,3
450,3,3,3,3,3,3,0,3
451,3,3,3,3,3,3,0,3
452,3,3,3,3,3,3,0,3
453,3,3,3,3,3,3,0,3
454,3,3,3,3,3,3,0,3
455,3,3,3,3,3,3,0,3
456,3,3,3,3,3,3,0,3
457,3,3,3,3,3,3,0,3
458,3,3,3,3,3,3,0,3
459,3,3,3,3,3,3,0,3
460,3,3,3,3,3,3,0,3
461,3,3,3,3,3,3,0,3
462,3,3,3,3,3,3,0,3
463,3,3,3,3,3,3,0,3
464,3,3,3,3,3,3,0,3
465,3,3,3,3,3,3,0,3
466,3,3,3,3,3,3,0,3
467,3,3,3,3,3,3,0,3
468,3,3,3,3,3,3,0,3
469,3,3,3,3,3,3,0,3
470,3,3,3,3,3,3,0,3
471,3,3,3,3,3,3,0,3
472,3,3,3,3,3,3,0,3
473,3,3,3,3,3,3,0,3
474,3,3,3,3,3,3,0,3
475,3,3,3,3,3,3,0,3
476,3,3,3,3,3,3,0,3
477,3,3,3,3,3,3,0,3
478,3,3,3,3,3,3,0,3
479,3,3,3,3,3,3,0,3
480,3,3,3,3,3,3,0,3
481,3,3,3,3,3,3,0,3
482,3,3,3,3,3,3,0,3
483,3,3,3,3,3,3,0,3
484,3,3,3,3,3,3,0,3
485,3,3,3,3,3,3,0,3
486,3,3,3,3,3,3,0,3
487,3,3,3,3,3,3,0,3
488,3,3,3,3,3,3,0,3
489,3,3,3,3,3,3,0,3
490,3,3,3,3,3,3,0,3
491,3,3,3,3,3,3,0,3
492,3,3,3,3,3,3,0,3
493,3,3,3,3,3,3,0,3
494,3,3,3,3,3,3,0,3
495,3,3,3,3,3,3,0,3
496,3,3,3,3,3,3,0,3
497,3,3,3,3,3,3,0,3
498,3,3,3,3,3,3,0,3
499,3,3,3,3,3,3,0,3
500,3,3,3,3,3,3,0,3
501,3,3,3,3,3,3,0,3
502,3,3,3,3,3,3,0,3
503,3,3,3,3,3,3,0,3
504,3,3,3,3,3,3,0,3
505,3,3,3,3,3,3,0,3
506,3,3,3,3,3,3,0,3
507,3,3,3,3,3,3,0,3
508,3,3,3,3,3,3,0,3
509,3,3,3,3,3,3,0,3
510,3,3,3,3,3,3,0,3
511,3,3,3,3,3,3,0,3
512,3,3,3,3,3,3,0,3
513,3,3,3,3,3,3,0,3
514,3,3,3,3,3,3,0,3
515,3,3,3,3,3,3,0,3
516,3,3,3,3,3,3,0,3
517,3,3,3,3,3,3,0,3
518,3,3,3,3,3,3,0,3
519,3,3,3,3,3,3,0,3
520,3,3,3,3,3,3,0,3
521,3,3,3,3,3,3,0,3
522,3,3,3,3,3,3,0,3
523,3,3,3,3,3,3,0,3
524,3,3,3,3,3,3,0,3
525,3,3,3,3,3,3,0,3
526,3,3,3,3,3,3,0,3
527,3,3,3,3,3,3,0,3
528,3,3,3,3,3,3,0,3
529,3,3,3,3,3,3,0,3
530,3,3,3,3,3,3,0,3
531,3,3,3,3,3,3,0,3
532,3,3,3,3,3,3,0,3
533,3,3,3,3,3,3,0,3
534,3,3,3,3,3,3,0,3
535,3,3,3,3,3,3,0,3
536,3,3,3,3,3,3,0,3
537,3,3,3,3,3,3,0,3
538,3,3,3,3,3,3,0,3
539,3,3,3,3,3,3,0,3
540,3,3,3,3,3,3,0,3
541,3,3,3,3,3,3,0,3
542,3,3,3,3,3,3,0,3
543,3,3,3,3,3,3,0,3
544,3,3,3,3,3,3,0,3
545,3,3,3,3,3,3,0,3
546,3,3,3,3,3,3,0,3
547,3,3,3,3,3,3,0,3
548,3,3,3,3,3,3,0,3
549,3,3,3,3,3,3,0,3
550,3,3,3,3,3,3,0,3
551,3,3,3,3,3,3,0,3
552,3,3,3,3,3,3,0,3
553,3,3,3,3,3,3,0,3
554,3,3,3,3,3,3,0,3
555,3,3,3,3,3,3,0,3
556,3,3,3,3,3,3,0,3
557,3,3,3,3,3,3,0,3
558,3,3,3,3,3,3,0,3
559,3,3,3,3,3,3,0,3
560,3,3,3,3,3,3,0,3
561,3,3,3,3,3,3,0,3
562,3,3,3,3,3,3,0,3
563,3,3,3,3,3,3,0,3
564,3,3,3,3,3,3,0,3
565,3,3,3,3,3,3,0,3
566,3,3,3,3,3,3,0,3
567,3,3,3,3,3,3,0,3
568,3,3,3,3,3,3,0,3
569,3,3,3,3,3,3,0,3
570,3,3,3,3,3,3,0,3
571,3,3,3,3,3,3,0,3
572,3,3,3,3,3,3,0,3
573,3,3,3,3,3,3,0,3
574,3,3,3,3,3,3,0,3
575,3,3,3,3,3,3,0,3
576,3,3,3,3,3,3,0,3
577,3,3,3,3,3,3,0,3
578,3,3,3,3,3,3,0,3
579,3,3,3,3,3,3,0,3
580,3,3,3,3,3,3,0,3
581,3,3,3,3,3,3,0,3
582,3,3,3,3,3,3,0,3
583,3,3,3,3,3,3,0,3
584,3,3,3,3,3,3,0,3
585,3,3,3,3,3,3,0,3
586,3,3,3,3,3,3,0,3
587,3,3,3,3,3,3,0,3
588,3,3,3,3,3,3,0,3
589,3,3,3,3,3,3,0,3
590,3,3,3,3,3,3,0,3
591,3,3,3,3,3,3,0,3
592,3,3,3,3,3,3,0,3
593,3,3,3,3,3,3,0,3
594,3,3,3,3,3,3,0,3
595,3,3,3,3,3,3,0,3
596,3,3,3,3,3,3,0,3
597,3,3,3,3,3,3,0,3
598,3,3,3,3,3,3,0,3
599,3,3,3,3,3,3,0,3
600,3,3,3,3,3,3,0,3
601,3,3,3,3,3,3,0,3
602,3,3,3,3,3,3,0,3
603,3,3,3,3,3,3,0,3
604,3,3,3,3,3,3,0,3
605,3,3,3,3,3,3,0,3
606,3,3,3,3,3,3,0,3
607,3,3,3,3,3,3,0,3
608,3,3,3,3,3,3,0,3
609,3,3,3,3,3,3,0,3
610,3,3,3,3,3,3,0,3
611,3,3,3,3,3,3,0,3
612,3,3,3,3,3,3,0,3
613,3,3,3,3,3,3,0,3
614,3,3,3,3,3,3,0,3
615,3,3,3,3,3,3,0,3
616,3,3,3,3,3,3,0,3
617,3,3,3,3,3,3,0,3
618,3,3,3,3,3,3,0,3
619,3,3,3,3,3,3,0,3
620,3,3,3,3,3,3,0,3
621,3,3,3,3,3,3,0,3
622,3,3,3,3,3,3,0,3
623,3,3,3,3,3,3,0,3
624,3,3,3,3,3,3,0,3
625,3,3,3,3,3,3,0,3
626,3,3,3,3,3,3,0,3
627,3,3,3,3,3,3,0,3
628,3,3,3,3,3,3,0,3
629,3,3,3,3,3,3,0,3
630,3,3,3,3,3,3,0,3
631,3,3,3,3,3,3,0,3
632,3,3,3,3,3,3,0,3
633,3,3,3,3,3,3,0,3
634,3,3,3,3,3,3,0,3
635,3,3,3,3,3,3,0,3
636,3,3,3,3,3,3,0,3
637,3,3,3,3,3,3,0,3
638,3,3,3,3,3,3,0,3
639,3,3,3,3,3,3,0,3
640,3,3,3,3,3,3,0,3
641,3,3,3,3,3,3,0,3
642,3,3,3,3,3,3,0,3
643,3,3,3,3,3,3,0,3
644,3,3,3,3,3,3,0,3
645,3,3,3,3,3,3,0,3
646,3,3,3,3,3,3,0,3
647,3,3,3,3,3,3,0,3
648,3,3,3,3,3,3,0,3
649,3,3,3,3,3,3,0,3
650,3,3,3,3,3,3,0,3
651,3,3,3,3,3,3,0,3
652,3,3,3,3,3,3,0,3
653,3,3,3,3,3,3,0,3
654,3,3,3,3,3,3,0,3
655,3,3,3,3,3,3,0,3
656,3,3,3,3,3,3,0,3
657,3,3,3,3,3,3,0,3
658,3,3,3,3,3,3,0,3
659,3,3,3,3,3,3,0,3
660,3,3,3,3,3,3,0,3
661,3,3,3,3,3,3,0,3
662,3,3,3,3,3,3,0,3
663,3,3,3,3,3,3,0,3
664,3,3,3,3,3,3,0,3
665,3,3,3,3,3,3,0,3
666,3,3,3,3,3,3,0,3
667,3,3,3,3,3,3,0,3
668,3,3,3,3,3,3,0,3
669,3,3,3,3,3,3,0,3
670,3,3,3,3,3,3,0,3
671,3,3,3,3,3,3,0,3
672,3,3,3,3,3,3,0,3
673,3,3,3,3,3,3,0,3
674,3,3,3,3,3,3,0,3
675,3,3,3,3,3,3,0,3
676,3,3,3,3,3,3,0,3
677,3,3,3,3,3,3,0,3
678,3,3,3,3,3,3,0,3
679,3,3,3,3,3,3,0,3
680,3,3,3,3,3,3,0,3
681,3,3,3,3,3,3,0,3
682,3,3,3,3,3,3,0,3
683,3,3,3,3,3,3,0,3
684,3,3,3,3,3,3,0,3
685,3,3,3,3,3,3,0,3
686,3,3,3,3,3,3,0,3
687,3,3,3,3,3,3,0,3
688,3,3,3,3,3,3,0,3
689,3,3,3,3,3,3,0,3
690,3,3,3,3,3,3,0,3
691,3,3,3,3,3,3,0,3
692,3,3,3,3,3,3,0,3
693,3,3,3,3,3,3,0,3
694,3,3,3,3,3,3,0,3
695,3,3,3,3,3,3,0,3
696,3,3,3,3,3,3,0,3
697,3,3,3,3,3,3,0,3
698,3,3,3,3,3,3,0,3
699,3,3,3,3,3,3,0,3
700,3,3,3,3,3,3,0,3
701,3,3,3,3,3,3,0,3
702,3,3,3,3,3,3,0,3
703,3,3,3,3,3,3,0,3
704,3,3,3,3,3,3,0,3
705,3,3,3,3,3,3,0,3
706,3,3,3,3,3,3,0,3
707,3,3,3,3,3,3,0,3
708,3,3,3,3,3,3,0,3
709,3,3,3,3,3,3,0,3
710,3,3,3,3,3,3,0,3
711,3,3,3,3,3,3,0,3
712,3,3,3,3,3,3,0,3
713,3,3,3,3,3,3,0,3
714,3,3,3,3,3,3,0,3
715,3,3,3,3,3,3,0,3
716,3,3,3,3,3,3,0,3
717,3,3,3,3,3,3,0,3
718,3,3,3,3,3,3,0,3
719,3,3,3,3,3,3,0,3
720,3,3,3,3,3,3,0,3
721,3,3,3,3,3,3,0,3
722,3,3,3,3,3,3,0,3
723,3,3,3,3,3,3,0,3
724,3,3,3,3,3,3,0,3
725,3,3,3,3,3,3,0,3
726,3,3,3,3,3,3,0,3
727,3,3,3,3,3,3,0,3
728,3,3,3,3,3,3,0,3
729,3,3,3,3,3,3,0,3
730,3,3,3,3,3,3,0,3
731,3,3,3,3,3,3,0,3
732,3,3,3,3,3,3,0,3
733,3,3,3,3,3,3,0,3
734,3,3,3,3,3,3,0,3
735,3,3,3,3,3,3,0,3
736,3,3,3,3,3,3,0,3
737,3,3,3,3,3,3,0,3
738,3,3,3,3,3,3,0,3
739,3,3,3,3,3,3,0,3
740,3,3,3,3,3,3,0,3
741,3,3,3,3,3,3,0,3
742,3,3,3,3,3,3,0,3
743,3,3,3,3,3,3,0,3
744,3,3,3,3,3,3,0,3
745,3,3,3,3,3,3,0,3
746,3,3,3,3,3,3,0,3
747,3,3,3,3,3,3,0,3
748,3,3,3,3,3,3,0,3
749,3,3,3,3,3,3,0,3
750,3,3,3,3,3,3,0,3
751,3,3,3,3,3,3,0,3
752,3,3,3,3,3,3,0,3
753,3,3,3,3,3,3,0,3
754,3,3,3,3,3,3,0,3
755,3,3,3,3,3,3,0,3
756,3,3,3,3,3,3,0,3
757,3,3,3,3,3,3,0,3
758,3,3,3,3,3,3,0,3
759,3,3,3,3,3,3,0,3
760,3,3,3,3,3,3,0,3
761,3,3,3,3,3,3,0,3
762,3,3,3,3,3,3,0,3
763,3,3,3,3,3,3,0,3
764,3,3,3,3,3,3,0,3
765,3,3,3,3,3,3,0,3
766,3,3,3,3,3,3,0,3
