Time_Index,Liquid_DAC_1,Liquid_DAC_2,Liquid_DAC_3,Liquid_DAC_4,Liquid_DAC_5,Liquid_DAC_6,Liquid_DAC_7,Liquid_DAC_8,Liquid_DAC_9,Solid_DAC_1,Solid_DAC_2,Solid_DAC_3,Solid_DAC_4,Solid_DAC_5,Solid_DAC_6,Solid_DAC_7,Solid_DAC_8,Solid_DAC_9
79,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
80,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
81,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
82,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
83,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
84,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
85,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
86,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
87,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
88,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
89,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
90,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
91,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
92,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
93,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
94,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
95,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
96,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
97,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
98,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
99,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
100,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
101,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
102,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
103,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
104,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
105,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
106,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
107,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
108,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
109,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
110,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
111,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
112,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
113,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
114,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
115,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
116,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
117,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
118,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
119,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
120,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
121,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
122,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
123,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
124,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
125,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
126,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
127,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
128,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
129,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
130,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
131,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
132,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
133,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
134,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
135,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
136,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
137,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
138,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
139,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
140,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
141,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
142,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
143,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
144,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
145,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
146,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
147,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
148,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
149,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
150,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
151,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
152,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
153,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
154,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
155,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
156,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
157,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
158,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
159,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
160,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
161,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
162,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
163,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
164,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
165,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
166,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
167,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
168,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
169,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
170,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
171,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
172,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
173,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
174,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
175,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
176,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
177,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
178,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
179,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
180,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
181,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
182,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
183,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
184,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
185,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
186,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
187,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
188,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
189,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
190,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
191,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
192,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
193,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
194,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
195,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
196,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
197,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
198,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
199,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
200,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
201,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
202,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
203,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
204,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
205,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
206,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
207,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
208,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
209,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
210,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
211,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
212,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
213,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
214,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
215,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
216,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
217,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
218,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
219,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
220,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
221,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
222,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
223,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
224,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
225,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
226,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
227,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
228,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
229,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
230,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
231,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
232,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
233,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
234,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
235,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
236,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
237,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
238,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
239,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
240,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
241,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
242,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
243,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
244,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
245,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
246,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
247,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
248,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
249,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
250,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
251,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
252,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
253,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
254,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
255,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
256,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
257,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
258,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
259,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
260,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
261,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
262,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
263,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
264,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
265,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
266,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
267,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
268,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
269,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
270,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
271,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
272,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
273,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
274,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
275,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
276,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
277,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
