Time_Index,SE_Solvent_wNGCC_DAC,MIDAT_Solvent_wNGCC_DAC,NE_Solvent_wNGCC_DAC,SE_Sorbent_wNGCC_DAC,MIDAT_Sorbent_wNGCC_DAC,NE_Sorbent_wNGCC_DAC,SE_Sorbent_DAC,MIDAT_Sorbent_DAC,NE_Sorbent_DAC
44,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
45,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
46,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
47,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
48,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
49,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
50,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
51,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
52,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
53,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
54,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
55,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
56,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
57,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
58,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
59,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
60,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
61,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
62,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
63,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
64,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
65,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
66,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
67,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
68,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
69,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
70,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
71,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
72,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
73,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
74,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
75,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
76,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
77,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
78,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
79,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
80,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
81,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
82,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
83,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
84,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
85,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
86,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
87,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
88,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
89,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
90,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
91,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
92,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
93,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
94,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
96,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
97,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
98,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
99,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
100,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
101,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
102,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
103,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
104,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
105,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
106,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
107,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
108,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
109,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
110,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
111,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
112,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
113,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
114,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
115,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
116,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
117,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
118,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
119,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
120,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
121,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
122,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
123,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
124,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
125,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
126,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
127,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
128,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
129,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
130,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
131,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
132,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
133,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
134,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
135,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
136,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
137,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
138,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
139,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
140,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
141,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
142,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
143,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
144,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
145,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
146,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
147,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
148,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
149,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
150,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
151,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
152,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
153,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
154,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
155,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
156,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
157,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
158,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
159,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
160,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
161,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
162,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
163,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
164,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
165,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
166,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
167,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
168,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
169,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
170,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
171,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
172,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
173,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
174,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
175,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
176,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
177,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
178,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
179,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
180,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
181,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
182,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
183,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
184,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
185,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
186,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
187,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
188,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
189,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
190,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
191,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
192,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
193,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
194,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
195,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
196,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
197,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
198,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
199,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
200,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
201,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
202,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
203,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
204,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
205,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
206,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
207,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
208,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
209,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
210,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
211,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
212,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
213,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
214,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
215,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
216,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
217,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
218,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
219,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
220,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
221,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
222,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
223,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
224,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
225,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
226,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
227,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
228,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
229,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
230,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
231,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
232,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
233,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
234,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
235,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
236,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
237,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
238,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
239,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
240,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
241,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
242,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
243,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
244,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
245,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
246,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
247,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
248,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
249,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
250,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
251,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
252,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
253,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
254,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
255,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
256,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
257,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
258,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
259,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
260,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
261,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
262,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
263,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
264,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
265,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
266,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
267,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
268,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
269,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
270,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
271,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
272,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
273,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
274,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
275,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
276,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
277,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
278,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
279,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
280,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
281,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
282,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
283,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
284,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
285,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
286,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
287,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
288,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
289,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
290,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
291,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
292,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
293,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
294,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
295,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
296,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
297,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
298,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
299,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
300,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
301,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
302,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
303,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
304,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
305,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
306,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
307,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
308,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
309,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
310,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
311,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
312,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
313,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
314,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
315,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
316,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
317,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
318,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
319,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
320,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
321,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
322,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
323,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
324,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
325,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
326,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
327,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
328,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
329,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
330,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
331,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
332,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
333,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
334,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
335,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
336,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
337,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
338,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
339,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
340,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
341,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
342,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
343,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
344,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
345,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
346,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
347,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
348,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
349,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
350,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
351,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
352,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
353,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
354,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
355,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
356,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
357,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
358,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
359,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
