Time_Index,elec_price_per_MWh_z1,elec_price_per_MWh_z2,elec_price_per_MWh_z3
207,0.04,0.04,0.04
208,0.04,0.04,0.04
209,0.04,0.04,0.04
210,0.04,0.04,0.04
211,0.04,0.04,0.04
212,0.04,0.04,0.04
213,0.04,0.04,0.04
214,0.04,0.04,0.04
215,0.04,0.04,0.04
216,0.04,0.04,0.04
217,0.04,0.04,0.04
218,0.04,0.04,0.04
219,0.04,0.04,0.04
220,0.04,0.04,0.04
221,0.04,0.04,0.04
222,0.04,0.04,0.04
223,0.04,0.04,0.04
224,0.04,0.04,0.04
225,0.04,0.04,0.04
226,0.04,0.04,0.04
227,0.04,0.04,0.04
228,0.04,0.04,0.04
229,0.04,0.04,0.04
230,0.04,0.04,0.04
231,0.04,0.04,0.04
232,0.04,0.04,0.04
233,0.04,0.04,0.04
234,0.04,0.04,0.04
235,0.04,0.04,0.04
236,0.04,0.04,0.04
237,0.04,0.04,0.04
238,0.04,0.04,0.04
239,0.04,0.04,0.04
240,0.04,0.04,0.04
241,0.04,0.04,0.04
242,0.04,0.04,0.04
243,0.04,0.04,0.04
244,0.04,0.04,0.04
245,0.04,0.04,0.04
246,0.04,0.04,0.04
247,0.04,0.04,0.04
248,0.04,0.04,0.04
249,0.04,0.04,0.04
250,0.04,0.04,0.04
251,0.04,0.04,0.04
252,0.04,0.04,0.04
253,0.04,0.04,0.04
254,0.04,0.04,0.04
255,0.04,0.04,0.04
256,0.04,0.04,0.04
257,0.04,0.04,0.04
258,0.04,0.04,0.04
259,0.04,0.04,0.04
260,0.04,0.04,0.04
261,0.04,0.04,0.04
262,0.04,0.04,0.04
263,0.04,0.04,0.04
264,0.04,0.04,0.04
265,0.04,0.04,0.04
266,0.04,0.04,0.04
267,0.04,0.04,0.04
268,0.04,0.04,0.04
269,0.04,0.04,0.04
270,0.04,0.04,0.04
271,0.04,0.04,0.04
272,0.04,0.04,0.04
273,0.04,0.04,0.04
274,0.04,0.04,0.04
275,0.04,0.04,0.04
276,0.04,0.04,0.04
277,0.04,0.04,0.04
278,0.04,0.04,0.04
279,0.04,0.04,0.04
280,0.04,0.04,0.04
281,0.04,0.04,0.04
282,0.04,0.04,0.04
283,0.04,0.04,0.04
284,0.04,0.04,0.04
285,0.04,0.04,0.04
286,0.04,0.04,0.04
287,0.04,0.04,0.04
288,0.04,0.04,0.04
289,0.04,0.04,0.04
290,0.04,0.04,0.04
291,0.04,0.04,0.04
292,0.04,0.04,0.04
293,0.04,0.04,0.04
294,0.04,0.04,0.04
295,0.04,0.04,0.04
296,0.04,0.04,0.04
297,0.04,0.04,0.04
298,0.04,0.04,0.04
299,0.04,0.04,0.04
300,0.04,0.04,0.04
301,0.04,0.04,0.04
302,0.04,0.04,0.04
303,0.04,0.04,0.04
304,0.04,0.04,0.04
305,0.04,0.04,0.04
306,0.04,0.04,0.04
307,0.04,0.04,0.04
308,0.04,0.04,0.04
309,0.04,0.04,0.04
310,0.04,0.04,0.04
311,0.04,0.04,0.04
312,0.04,0.04,0.04
313,0.04,0.04,0.04
314,0.04,0.04,0.04
315,0.04,0.04,0.04
316,0.04,0.04,0.04
317,0.04,0.04,0.04
318,0.04,0.04,0.04
319,0.04,0.04,0.04
320,0.04,0.04,0.04
321,0.04,0.04,0.04
322,0.04,0.04,0.04
323,0.04,0.04,0.04
324,0.04,0.04,0.04
325,0.04,0.04,0.04
326,0.04,0.04,0.04
327,0.04,0.04,0.04
328,0.04,0.04,0.04
329,0.04,0.04,0.04
330,0.04,0.04,0.04
331,0.04,0.04,0.04
332,0.04,0.04,0.04
333,0.04,0.04,0.04
334,0.04,0.04,0.04
335,0.04,0.04,0.04
336,0.04,0.04,0.04
337,0.04,0.04,0.04
338,0.04,0.04,0.04
339,0.04,0.04,0.04
340,0.04,0.04,0.04
341,0.04,0.04,0.04
342,0.04,0.04,0.04
343,0.04,0.04,0.04
344,0.04,0.04,0.04
345,0.04,0.04,0.04
346,0.04,0.04,0.04
347,0.04,0.04,0.04
348,0.04,0.04,0.04
349,0.04,0.04,0.04
350,0.04,0.04,0.04
351,0.04,0.04,0.04
352,0.04,0.04,0.04
353,0.04,0.04,0.04
354,0.04,0.04,0.04
355,0.04,0.04,0.04
356,0.04,0.04,0.04
357,0.04,0.04,0.04
358,0.04,0.04,0.04
359,0.04,0.04,0.04
360,0.04,0.04,0.04
361,0.04,0.04,0.04
362,0.04,0.04,0.04
363,0.04,0.04,0.04
364,0.04,0.04,0.04
365,0.04,0.04,0.04
366,0.04,0.04,0.04
367,0.04,0.04,0.04
368,0.04,0.04,0.04
369,0.04,0.04,0.04
370,0.04,0.04,0.04
371,0.04,0.04,0.04
372,0.04,0.04,0.04
373,0.04,0.04,0.04
374,0.04,0.04,0.04
375,0.04,0.04,0.04
376,0.04,0.04,0.04
377,0.04,0.04,0.04
378,0.04,0.04,0.04
379,0.04,0.04,0.04
380,0.04,0.04,0.04
381,0.04,0.04,0.04
382,0.04,0.04,0.04
383,0.04,0.04,0.04
384,0.04,0.04,0.04
385,0.04,0.04,0.04
386,0.04,0.04,0.04
387,0.04,0.04,0.04
388,0.04,0.04,0.04
389,0.04,0.04,0.04
390,0.04,0.04,0.04
391,0.04,0.04,0.04
392,0.04,0.04,0.04
393,0.04,0.04,0.04
394,0.04,0.04,0.04
395,0.04,0.04,0.04
396,0.04,0.04,0.04
397,0.04,0.04,0.04
398,0.04,0.04,0.04
399,0.04,0.04,0.04
400,0.04,0.04,0.04
401,0.04,0.04,0.04
402,0.04,0.04,0.04
403,0.04,0.04,0.04
404,0.04,0.04,0.04
405,0.04,0.04,0.04
406,0.04,0.04,0.04
407,0.04,0.04,0.04
408,0.04,0.04,0.04
409,0.04,0.04,0.04
410,0.04,0.04,0.04
411,0.04,0.04,0.04
412,0.04,0.04,0.04
413,0.04,0.04,0.04
414,0.04,0.04,0.04
415,0.04,0.04,0.04
416,0.04,0.04,0.04
417,0.04,0.04,0.04
418,0.04,0.04,0.04
419,0.04,0.04,0.04
420,0.04,0.04,0.04
421,0.04,0.04,0.04
422,0.04,0.04,0.04
423,0.04,0.04,0.04
424,0.04,0.04,0.04
425,0.04,0.04,0.04
426,0.04,0.04,0.04
427,0.04,0.04,0.04
428,0.04,0.04,0.04
429,0.04,0.04,0.04
430,0.04,0.04,0.04
431,0.04,0.04,0.04
432,0.04,0.04,0.04
433,0.04,0.04,0.04
434,0.04,0.04,0.04
435,0.04,0.04,0.04
436,0.04,0.04,0.04
437,0.04,0.04,0.04
438,0.04,0.04,0.04
439,0.04,0.04,0.04
440,0.04,0.04,0.04
441,0.04,0.04,0.04
442,0.04,0.04,0.04
443,0.04,0.04,0.04
444,0.04,0.04,0.04
445,0.04,0.04,0.04
446,0.04,0.04,0.04
447,0.04,0.04,0.04
448,0.04,0.04,0.04
449,0.04,0.04,0.04
450,0.04,0.04,0.04
451,0.04,0.04,0.04
452,0.04,0.04,0.04
453,0.04,0.04,0.04
454,0.04,0.04,0.04
455,0.04,0.04,0.04
456,0.04,0.04,0.04
457,0.04,0.04,0.04
458,0.04,0.04,0.04
459,0.04,0.04,0.04
460,0.04,0.04,0.04
461,0.04,0.04,0.04
462,0.04,0.04,0.04
463,0.04,0.04,0.04
464,0.04,0.04,0.04
465,0.04,0.04,0.04
466,0.04,0.04,0.04
467,0.04,0.04,0.04
468,0.04,0.04,0.04
469,0.04,0.04,0.04
470,0.04,0.04,0.04
471,0.04,0.04,0.04
472,0.04,0.04,0.04
473,0.04,0.04,0.04
474,0.04,0.04,0.04
475,0.04,0.04,0.04
476,0.04,0.04,0.04
477,0.04,0.04,0.04
478,0.04,0.04,0.04
479,0.04,0.04,0.04
480,0.04,0.04,0.04
481,0.04,0.04,0.04
482,0.04,0.04,0.04
483,0.04,0.04,0.04
484,0.04,0.04,0.04
485,0.04,0.04,0.04
486,0.04,0.04,0.04
487,0.04,0.04,0.04
488,0.04,0.04,0.04
489,0.04,0.04,0.04
490,0.04,0.04,0.04
491,0.04,0.04,0.04
492,0.04,0.04,0.04
493,0.04,0.04,0.04
494,0.04,0.04,0.04
495,0.04,0.04,0.04
496,0.04,0.04,0.04
497,0.04,0.04,0.04
498,0.04,0.04,0.04
499,0.04,0.04,0.04
500,0.04,0.04,0.04
501,0.04,0.04,0.04
502,0.04,0.04,0.04
503,0.04,0.04,0.04
504,0.04,0.04,0.04
505,0.04,0.04,0.04
506,0.04,0.04,0.04
507,0.04,0.04,0.04
508,0.04,0.04,0.04
509,0.04,0.04,0.04
510,0.04,0.04,0.04
511,0.04,0.04,0.04
512,0.04,0.04,0.04
513,0.04,0.04,0.04
514,0.04,0.04,0.04
515,0.04,0.04,0.04
516,0.04,0.04,0.04
517,0.04,0.04,0.04
518,0.04,0.04,0.04
519,0.04,0.04,0.04
520,0.04,0.04,0.04
521,0.04,0.04,0.04
522,0.04,0.04,0.04
523,0.04,0.04,0.04
524,0.04,0.04,0.04
525,0.04,0.04,0.04
526,0.04,0.04,0.04
527,0.04,0.04,0.04
528,0.04,0.04,0.04
529,0.04,0.04,0.04
530,0.04,0.04,0.04
531,0.04,0.04,0.04
532,0.04,0.04,0.04
533,0.04,0.04,0.04
534,0.04,0.04,0.04
535,0.04,0.04,0.04
536,0.04,0.04,0.04
537,0.04,0.04,0.04
538,0.04,0.04,0.04
539,0.04,0.04,0.04
540,0.04,0.04,0.04
541,0.04,0.04,0.04
542,0.04,0.04,0.04
543,0.04,0.04,0.04
544,0.04,0.04,0.04
545,0.04,0.04,0.04
546,0.04,0.04,0.04
547,0.04,0.04,0.04
548,0.04,0.04,0.04
549,0.04,0.04,0.04
550,0.04,0.04,0.04
551,0.04,0.04,0.04
552,0.04,0.04,0.04
553,0.04,0.04,0.04
554,0.04,0.04,0.04
555,0.04,0.04,0.04
556,0.04,0.04,0.04
557,0.04,0.04,0.04
558,0.04,0.04,0.04
559,0.04,0.04,0.04
560,0.04,0.04,0.04
561,0.04,0.04,0.04
562,0.04,0.04,0.04
563,0.04,0.04,0.04
564,0.04,0.04,0.04
565,0.04,0.04,0.04
566,0.04,0.04,0.04
567,0.04,0.04,0.04
568,0.04,0.04,0.04
569,0.04,0.04,0.04
570,0.04,0.04,0.04
571,0.04,0.04,0.04
572,0.04,0.04,0.04
573,0.04,0.04,0.04
574,0.04,0.04,0.04
575,0.04,0.04,0.04
576,0.04,0.04,0.04
577,0.04,0.04,0.04
578,0.04,0.04,0.04
579,0.04,0.04,0.04
580,0.04,0.04,0.04
581,0.04,0.04,0.04
582,0.04,0.04,0.04
583,0.04,0.04,0.04
584,0.04,0.04,0.04
585,0.04,0.04,0.04
586,0.04,0.04,0.04
587,0.04,0.04,0.04
588,0.04,0.04,0.04
589,0.04,0.04,0.04
590,0.04,0.04,0.04
591,0.04,0.04,0.04
592,0.04,0.04,0.04
593,0.04,0.04,0.04
594,0.04,0.04,0.04
595,0.04,0.04,0.04
596,0.04,0.04,0.04
597,0.04,0.04,0.04
598,0.04,0.04,0.04
599,0.04,0.04,0.04
600,0.04,0.04,0.04
601,0.04,0.04,0.04
602,0.04,0.04,0.04
603,0.04,0.04,0.04
604,0.04,0.04,0.04
605,0.04,0.04,0.04
606,0.04,0.04,0.04
607,0.04,0.04,0.04
608,0.04,0.04,0.04
609,0.04,0.04,0.04
610,0.04,0.04,0.04
611,0.04,0.04,0.04
612,0.04,0.04,0.04
613,0.04,0.04,0.04
614,0.04,0.04,0.04
615,0.04,0.04,0.04
616,0.04,0.04,0.04
617,0.04,0.04,0.04
618,0.04,0.04,0.04
619,0.04,0.04,0.04
620,0.04,0.04,0.04
621,0.04,0.04,0.04
622,0.04,0.04,0.04
623,0.04,0.04,0.04
624,0.04,0.04,0.04
625,0.04,0.04,0.04
626,0.04,0.04,0.04
627,0.04,0.04,0.04
628,0.04,0.04,0.04
629,0.04,0.04,0.04
630,0.04,0.04,0.04
631,0.04,0.04,0.04
632,0.04,0.04,0.04
633,0.04,0.04,0.04
634,0.04,0.04,0.04
635,0.04,0.04,0.04
636,0.04,0.04,0.04
637,0.04,0.04,0.04
638,0.04,0.04,0.04
639,0.04,0.04,0.04
640,0.04,0.04,0.04
641,0.04,0.04,0.04
642,0.04,0.04,0.04
643,0.04,0.04,0.04
644,0.04,0.04,0.04
645,0.04,0.04,0.04
646,0.04,0.04,0.04
647,0.04,0.04,0.04
648,0.04,0.04,0.04
649,0.04,0.04,0.04
650,0.04,0.04,0.04
651,0.04,0.04,0.04
652,0.04,0.04,0.04
653,0.04,0.04,0.04
654,0.04,0.04,0.04
655,0.04,0.04,0.04
656,0.04,0.04,0.04
657,0.04,0.04,0.04
658,0.04,0.04,0.04
659,0.04,0.04,0.04
660,0.04,0.04,0.04
661,0.04,0.04,0.04
662,0.04,0.04,0.04
663,0.04,0.04,0.04
664,0.04,0.04,0.04
665,0.04,0.04,0.04
666,0.04,0.04,0.04
667,0.04,0.04,0.04
668,0.04,0.04,0.04
669,0.04,0.04,0.04
670,0.04,0.04,0.04
671,0.04,0.04,0.04
672,0.04,0.04,0.04
673,0.04,0.04,0.04
674,0.04,0.04,0.04
675,0.04,0.04,0.04
676,0.04,0.04,0.04
677,0.04,0.04,0.04
678,0.04,0.04,0.04
679,0.04,0.04,0.04
680,0.04,0.04,0.04
681,0.04,0.04,0.04
682,0.04,0.04,0.04
683,0.04,0.04,0.04
684,0.04,0.04,0.04
685,0.04,0.04,0.04
686,0.04,0.04,0.04
687,0.04,0.04,0.04
688,0.04,0.04,0.04
689,0.04,0.04,0.04
690,0.04,0.04,0.04
691,0.04,0.04,0.04
692,0.04,0.04,0.04
693,0.04,0.04,0.04
694,0.04,0.04,0.04
695,0.04,0.04,0.04
696,0.04,0.04,0.04
697,0.04,0.04,0.04
698,0.04,0.04,0.04
699,0.04,0.04,0.04
700,0.04,0.04,0.04
701,0.04,0.04,0.04
702,0.04,0.04,0.04
703,0.04,0.04,0.04
704,0.04,0.04,0.04
705,0.04,0.04,0.04
706,0.04,0.04,0.04
707,0.04,0.04,0.04
708,0.04,0.04,0.04
709,0.04,0.04,0.04
710,0.04,0.04,0.04
711,0.04,0.04,0.04
712,0.04,0.04,0.04
713,0.04,0.04,0.04
714,0.04,0.04,0.04
715,0.04,0.04,0.04
716,0.04,0.04,0.04
717,0.04,0.04,0.04
718,0.04,0.04,0.04
719,0.04,0.04,0.04
720,0.04,0.04,0.04
721,0.04,0.04,0.04
722,0.04,0.04,0.04
723,0.04,0.04,0.04
724,0.04,0.04,0.04
725,0.04,0.04,0.04
726,0.04,0.04,0.04
727,0.04,0.04,0.04
728,0.04,0.04,0.04
729,0.04,0.04,0.04
730,0.04,0.04,0.04
731,0.04,0.04,0.04
732,0.04,0.04,0.04
733,0.04,0.04,0.04
734,0.04,0.04,0.04
735,0.04,0.04,0.04
736,0.04,0.04,0.04
737,0.04,0.04,0.04
738,0.04,0.04,0.04
739,0.04,0.04,0.04
740,0.04,0.04,0.04
741,0.04,0.04,0.04
742,0.04,0.04,0.04
743,0.04,0.04,0.04
744,0.04,0.04,0.04
745,0.04,0.04,0.04
746,0.04,0.04,0.04
747,0.04,0.04,0.04
748,0.04,0.04,0.04
749,0.04,0.04,0.04
750,0.04,0.04,0.04
751,0.04,0.04,0.04
752,0.04,0.04,0.04
753,0.04,0.04,0.04
754,0.04,0.04,0.04
755,0.04,0.04,0.04
756,0.04,0.04,0.04
757,0.04,0.04,0.04
758,0.04,0.04,0.04
759,0.04,0.04,0.04
760,0.04,0.04,0.04
761,0.04,0.04,0.04
762,0.04,0.04,0.04
763,0.04,0.04,0.04
764,0.04,0.04,0.04
765,0.04,0.04,0.04
766,0.04,0.04,0.04
767,0.04,0.04,0.04
768,0.04,0.04,0.04
769,0.04,0.04,0.04
770,0.04,0.04,0.04
771,0.04,0.04,0.04
772,0.04,0.04,0.04
773,0.04,0.04,0.04
774,0.04,0.04,0.04
775,0.04,0.04,0.04
776,0.04,0.04,0.04
777,0.04,0.04,0.04
778,0.04,0.04,0.04
779,0.04,0.04,0.04
780,0.04,0.04,0.04
781,0.04,0.04,0.04
782,0.04,0.04,0.04
783,0.04,0.04,0.04
784,0.04,0.04,0.04
785,0.04,0.04,0.04
786,0.04,0.04,0.04
787,0.04,0.04,0.04
788,0.04,0.04,0.04
789,0.04,0.04,0.04
790,0.04,0.04,0.04
791,0.04,0.04,0.04
792,0.04,0.04,0.04
793,0.04,0.04,0.04
794,0.04,0.04,0.04
795,0.04,0.04,0.04
796,0.04,0.04,0.04
797,0.04,0.04,0.04
798,0.04,0.04,0.04
799,0.04,0.04,0.04
800,0.04,0.04,0.04
801,0.04,0.04,0.04
802,0.04,0.04,0.04
803,0.04,0.04,0.04
804,0.04,0.04,0.04
805,0.04,0.04,0.04
806,0.04,0.04,0.04
807,0.04,0.04,0.04
808,0.04,0.04,0.04
809,0.04,0.04,0.04
810,0.04,0.04,0.04
811,0.04,0.04,0.04
812,0.04,0.04,0.04
813,0.04,0.04,0.04
814,0.04,0.04,0.04
815,0.04,0.04,0.04
816,0.04,0.04,0.04
817,0.04,0.04,0.04
818,0.04,0.04,0.04
819,0.04,0.04,0.04
820,0.04,0.04,0.04
821,0.04,0.04,0.04
822,0.04,0.04,0.04
823,0.04,0.04,0.04
824,0.04,0.04,0.04
825,0.04,0.04,0.04
826,0.04,0.04,0.04
827,0.04,0.04,0.04
828,0.04,0.04,0.04
829,0.04,0.04,0.04
830,0.04,0.04,0.04
831,0.04,0.04,0.04
832,0.04,0.04,0.04
833,0.04,0.04,0.04
834,0.04,0.04,0.04
835,0.04,0.04,0.04
836,0.04,0.04,0.04
837,0.04,0.04,0.04
838,0.04,0.04,0.04
839,0.04,0.04,0.04
840,0.04,0.04,0.04
841,0.04,0.04,0.04
842,0.04,0.04,0.04
843,0.04,0.04,0.04
844,0.04,0.04,0.04
845,0.04,0.04,0.04
846,0.04,0.04,0.04
847,0.04,0.04,0.04
848,0.04,0.04,0.04
849,0.04,0.04,0.04
850,0.04,0.04,0.04
851,0.04,0.04,0.04
852,0.04,0.04,0.04
853,0.04,0.04,0.04
854,0.04,0.04,0.04
855,0.04,0.04,0.04
856,0.04,0.04,0.04
857,0.04,0.04,0.04
858,0.04,0.04,0.04
859,0.04,0.04,0.04
860,0.04,0.04,0.04
861,0.04,0.04,0.04
862,0.04,0.04,0.04
863,0.04,0.04,0.04
864,0.04,0.04,0.04
865,0.04,0.04,0.04
866,0.04,0.04,0.04
867,0.04,0.04,0.04
868,0.04,0.04,0.04
869,0.04,0.04,0.04
870,0.04,0.04,0.04
871,0.04,0.04,0.04
872,0.04,0.04,0.04
873,0.04,0.04,0.04
874,0.04,0.04,0.04
875,0.04,0.04,0.04
876,0.04,0.04,0.04
877,0.04,0.04,0.04
878,0.04,0.04,0.04
879,0.04,0.04,0.04
880,0.04,0.04,0.04
881,0.04,0.04,0.04
882,0.04,0.04,0.04
883,0.04,0.04,0.04
884,0.04,0.04,0.04
885,0.04,0.04,0.04
886,0.04,0.04,0.04
887,0.04,0.04,0.04
888,0.04,0.04,0.04
889,0.04,0.04,0.04
890,0.04,0.04,0.04
891,0.04,0.04,0.04
892,0.04,0.04,0.04
893,0.04,0.04,0.04
894,0.04,0.04,0.04
895,0.04,0.04,0.04
896,0.04,0.04,0.04
897,0.04,0.04,0.04
898,0.04,0.04,0.04
899,0.04,0.04,0.04
900,0.04,0.04,0.04
901,0.04,0.04,0.04
902,0.04,0.04,0.04
903,0.04,0.04,0.04
904,0.04,0.04,0.04
905,0.04,0.04,0.04
906,0.04,0.04,0.04
907,0.04,0.04,0.04
908,0.04,0.04,0.04
909,0.04,0.04,0.04
910,0.04,0.04,0.04
911,0.04,0.04,0.04
912,0.04,0.04,0.04
913,0.04,0.04,0.04
914,0.04,0.04,0.04
915,0.04,0.04,0.04
916,0.04,0.04,0.04
917,0.04,0.04,0.04
918,0.04,0.04,0.04
919,0.04,0.04,0.04
920,0.04,0.04,0.04
921,0.04,0.04,0.04
922,0.04,0.04,0.04
923,0.04,0.04,0.04
924,0.04,0.04,0.04
925,0.04,0.04,0.04
926,0.04,0.04,0.04
927,0.04,0.04,0.04
928,0.04,0.04,0.04
929,0.04,0.04,0.04
930,0.04,0.04,0.04
931,0.04,0.04,0.04
932,0.04,0.04,0.04
933,0.04,0.04,0.04
934,0.04,0.04,0.04
935,0.04,0.04,0.04
936,0.04,0.04,0.04
937,0.04,0.04,0.04
938,0.04,0.04,0.04
939,0.04,0.04,0.04
940,0.04,0.04,0.04
941,0.04,0.04,0.04
942,0.04,0.04,0.04
943,0.04,0.04,0.04
944,0.04,0.04,0.04
945,0.04,0.04,0.04
946,0.04,0.04,0.04
947,0.04,0.04,0.04
948,0.04,0.04,0.04
949,0.04,0.04,0.04
950,0.04,0.04,0.04
951,0.04,0.04,0.04
952,0.04,0.04,0.04
953,0.04,0.04,0.04
954,0.04,0.04,0.04
955,0.04,0.04,0.04
956,0.04,0.04,0.04
957,0.04,0.04,0.04
958,0.04,0.04,0.04
959,0.04,0.04,0.04
960,0.04,0.04,0.04
961,0.04,0.04,0.04
962,0.04,0.04,0.04
963,0.04,0.04,0.04
964,0.04,0.04,0.04
965,0.04,0.04,0.04
966,0.04,0.04,0.04
967,0.04,0.04,0.04
968,0.04,0.04,0.04
969,0.04,0.04,0.04
970,0.04,0.04,0.04
971,0.04,0.04,0.04
972,0.04,0.04,0.04
973,0.04,0.04,0.04
974,0.04,0.04,0.04
975,0.04,0.04,0.04
976,0.04,0.04,0.04
977,0.04,0.04,0.04
978,0.04,0.04,0.04
979,0.04,0.04,0.04
980,0.04,0.04,0.04
981,0.04,0.04,0.04
982,0.04,0.04,0.04
983,0.04,0.04,0.04
984,0.04,0.04,0.04
985,0.04,0.04,0.04
986,0.04,0.04,0.04
987,0.04,0.04,0.04
988,0.04,0.04,0.04
989,0.04,0.04,0.04
990,0.04,0.04,0.04
991,0.04,0.04,0.04
992,0.04,0.04,0.04
993,0.04,0.04,0.04
