Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,VRE_Trans_Cost_per_MWyr,Heat_Rate_MMBTU_per_MWh,Fuel,NG_MMBtu_per_MWh,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Start_NG_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,ESR_1,ESR_2,region,cluster,CCS_Rate
SE_small_hydroelectric_1,1,0,1,0,0,0,0,0,0,-1,249.895,0,0,0,-1,-1,0,0,0,0,0,0,45648,0,0,0,0,0,0,None,0,1.219,0,0,0,0,0,1,1,1,0.135129141,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,small_hydroelectric,0,1,1,SE,1,0
SE_solar_photovoltaic_1,1,0,0,0,0,0,1,0,1,0,8502.2,0,0,0,-1,-1,0,0,0,0,0,0,22887,0,0,0,0,0,0,None,0,17.142,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,solar_photovoltaic,0.8,1,1,SE,1,0
SE_naturalgas_ccccsavgcf_conservative_0,1,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,159189.8789,0,0,65100,0,0,5.73,0,0,0,None,7.159,377,97,0,0.2,4,4,1,1,1,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,naturalgas_ccccsavgcf_conservative,0.93,0,0,SE,0,0.9
SE_naturalgas_ccavgcf_moderate_0,1,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,80677.84294,0,0,27300,0,0,1.74,0,0,0,None,6.363,573,61,0,0.2,4,4,1,1,1,0.3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,naturalgas_ccavgcf_moderate,0.93,0,0,SE,0,0
SE_naturalgas_ctavgcf_moderate_0,1,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,67261.81732,0,0,20900,0,0,4.94,0,0,0,None,9.717,237,140,0,0.19,0,0,1,1,1,0.25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,naturalgas_ctavgcf_moderate,0.93,0,0,SE,0,0
SE_battery_moderate_0,1,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,17606.52324,10728.08665,0,4633.553749,2823.338001,0,0,0,0,0,None,0,1,0,0,0,0,0,1,1,1,0,0,0.92,0.92,1,10,0,0,0,0,0,0,0,0,0,0,0,0,battery_moderate,0.95,0,0,SE,0,0
SE_nuclear_mid_0,1,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,334511.1518,0,0,144972.332,0,0,2.351778656,0,0,10.455,SE_reference_uranium,0,1000,1000,0,0,36,36,0.25,0.25,1,0.3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nuclear_mid,0.93,0,1,SE,0,0
SE_utilitypv_class1_moderate_70_0_2_1,1,0,0,0,0,0,1,0,1,1,0,0,0,1041244,-1,-1,0,0,0,49950.17548,0,0,15390.48615,0,0,0,0,0,0,None,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_7,0.8,1,1,SE,1,0
SE_utilitypv_class1_moderate_70_0_2_2,1,0,0,0,0,0,1,0,1,1,0,0,0,890062,-1,-1,0,0,0,49950.17548,0,0,15390.48615,0,0,0,0,0,0,None,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_8,0.8,1,1,SE,2,0
SE_utilitypv_class1_moderate_70_0_2_3,1,0,0,0,0,0,1,0,1,1,0,0,0,1238552,-1,-1,0,0,0,49950.17548,0,0,15390.48615,0,0,0,0,0,0,None,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_9,0.8,1,1,SE,3,0
SE_utilitypv_class1_moderate_70_0_2_4,1,0,0,0,0,0,1,0,1,1,0,0,0,1039859,-1,-1,0,0,0,49950.17548,0,0,15390.48615,0,0,0,0,0,0,None,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_10,0.8,1,1,SE,4,0
SE_utilitypv_class1_moderate_70_0_2_5,1,0,0,0,0,0,1,0,1,1,0,0,0,955445,-1,-1,0,0,0,49950.17548,0,0,15390.48615,0,0,0,0,0,0,None,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_11,0.8,1,1,SE,5,0
SE_utilitypv_class1_moderate_70_0_2_6,1,0,0,0,0,0,1,0,1,1,0,0,0,1729874,-1,-1,0,0,0,49950.17548,0,0,15390.48615,0,0,0,0,0,0,None,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_12,0.8,1,1,SE,6,0
SE_utilitypv_class1_moderate_70_0_2_7,1,0,0,0,0,0,1,0,1,1,0,0,0,618334,-1,-1,0,0,0,49950.17548,0,0,15390.48615,0,0,0,0,0,0,None,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_13,0.8,1,1,SE,7,0
SE_utilitypv_class1_moderate_70_0_2_8,1,0,0,0,0,0,1,0,1,1,0,0,0,989513,-1,-1,0,0,0,49950.17548,0,0,15390.48615,0,0,0,0,0,0,None,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_14,0.8,1,1,SE,8,0
SE_landbasedwind_class4_moderate_70_1,1,0,0,0,0,0,1,0,1,1,0,0,0,84058,-1,-1,0,0,0,68099.00274,0,0,34568.125,0,0,0,0,0,0,None,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_80,0.8,1,1,SE,1,0
SE_landbasedwind_class4_moderate_70_2,1,0,0,0,0,0,1,0,1,1,0,0,0,20182,-1,-1,0,0,0,68099.00274,0,0,34568.125,0,0,0,0,0,0,None,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_81,0.8,1,1,SE,2,0
SE_landbasedwind_class4_moderate_70_3,1,0,0,0,0,0,1,0,1,1,0,0,0,105301,-1,-1,0,0,0,68099.00274,0,0,34568.125,0,0,0,0,0,0,None,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_82,0.8,1,1,SE,3,0
SE_landbasedwind_class4_moderate_70_4,1,0,0,0,0,0,1,0,1,1,0,0,0,95536,-1,-1,0,0,0,68099.00274,0,0,34568.125,0,0,0,0,0,0,None,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_83,0.8,1,1,SE,4,0
SE_landbasedwind_class4_moderate_70_5,1,0,0,0,0,0,1,0,1,1,0,0,0,79807,-1,-1,0,0,0,68099.00274,0,0,34568.125,0,0,0,0,0,0,None,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_84,0.8,1,1,SE,5,0
SE_landbasedwind_class4_moderate_70_6,1,0,0,0,0,0,1,0,1,1,0,0,0,117168,-1,-1,0,0,0,68099.00274,0,0,34568.125,0,0,0,0,0,0,None,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_85,0.8,1,1,SE,6,0
SE_landbasedwind_class4_moderate_70_7,1,0,0,0,0,0,1,0,1,1,0,0,0,66201,-1,-1,0,0,0,68099.00274,0,0,34568.125,0,0,0,0,0,0,None,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_86,0.8,1,1,SE,7,0
SE_landbasedwind_class4_moderate_70_8,1,0,0,0,0,0,1,0,1,1,0,0,0,102849,-1,-1,0,0,0,68099.00274,0,0,34568.125,0,0,0,0,0,0,None,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_87,0.8,1,1,SE,8,0
